"","source","rise1.3","rise2.3","Location","SubjectPool","Setting","Pencil","tempt","lkl"
"1","unswonline",NA,1,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"2","unswonline",3,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"3","unswonline",2,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,2
"4","unswonline",2,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,2
"5","unswonline",NA,2,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,2
"6","unswonline",2,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,2
"7","unswonline",NA,4,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,4
"8","unswonline",NA,4,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,4
"9","unswonline",7,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,7
"10","unswonline",6,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,6
"11","unswonline",3,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"12","unswonline",NA,6,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,6
"13","unswonline",NA,3,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,3
"14","unswonline",4,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,4
"15","unswonline",3,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"16","unswonline",3,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"17","unswonline",NA,4,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,4
"18","unswonline",6,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,6
"19","unswonline",7,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,7
"20","unswonline",NA,4,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,4
"21","unswonline",NA,2,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,2
"22","unswonline",NA,6,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,6
"23","unswonline",NA,2,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,2
"24","unswonline",3,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"25","unswonline",6,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,6
"26","unswonline",5,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,5
"27","unswonline",NA,7,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,7
"28","unswonline",2,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,2
"29","unswonline",NA,1,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"30","unswonline",NA,5,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,5
"31","unswonline",8,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,8
"32","unswonline",NA,1,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"33","unswonline",NA,2,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,2
"34","unswonline",NA,5,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,5
"35","unswonline",NA,4,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,4
"36","unswonline",3,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"37","unswonline",NA,1,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"38","unswonline",NA,1,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"39","unswonline",6,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,6
"40","unswonline",NA,2,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,2
"41","unswonline",NA,5,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,5
"42","unswonline",NA,5,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,5
"43","unswonline",5,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,5
"44","unswonline",7,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,7
"45","unswonline",5,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,5
"46","unswonline",NA,1,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,1
"47","unswonline",NA,5,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,5
"48","unswonline",NA,3,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,3
"49","unswonline",NA,4,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,4
"50","unswonline",NA,3,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,3
"51","unswonline",NA,7,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,7
"52","unswonline",NA,7,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,7
"53","unswonline",3,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,3
"54","unswonline",6,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,6
"55","unswonline",2,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,2
"56","unswonline",1,NA,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",TRUE,1
"57","unswonline",NA,2,"University of New South Wales, Sydney, Australia","Yes","Online (at home)","No, the whole study was on the computer (except maybe consent/debriefing)",FALSE,2
