"","source","undergrads","m0","m1","sd0","sd1","n0","n1","N","lo","hi","pval","site.main"
"1","armstrong","Yes",3.86842105263158,4.63829787234043,2.36152782235591,2.80857020652776,38,47,85,-0.345725090930687,1.88547873034838,0.173575737336539,0.769876819708847
"2","aus2","Yes",4.5,5.53086419753086,2.39522721303468,2.32425482549293,98,81,179,0.332359288533346,1.72936910652838,0.00405400494379078,1.03086419753086
"3","bogota","Yes",4.70175438596491,4.75555555555556,2.41989456884195,2.63848747611509,57,45,102,-0.954129524062634,1.06173186324392,0.915788023959113,0.0538011695906428
"4","brookcuny","Yes",3.87755102040816,4.88095238095238,2.21180201814565,2.29931766675352,98,84,182,0.340339285959338,1.6664634351291,0.00322719446437846,1.00340136054422
"5","carleton","Yes",3.9672131147541,4.11864406779661,2.3019355125253,2.53992089045086,61,59,120,-0.725898938040524,1.02876084412555,0.733071197429156,0.151430953042512
"6","csunorthonline","Yes",4.76086956521739,5.19047619047619,2.12063703855124,2.59679065751005,46,42,88,-0.581974349573261,1.44118760009086,0.400504530414295,0.429606625258799
"7","georgefox","Yes",3.94666666666667,4.5,2.0917685090601,2.23251584185353,75,64,139,-0.176816341584021,1.28348300825069,0.136227822856684,0.553333333333333
"8","hawaiion","Yes",3.95588235294118,4.29090909090909,2.3590652305674,2.2906632330262,68,55,123,-0.498748012011087,1.16880148794692,0.427770225470153,0.335026737967914
"9","help","Yes",4.56521739130435,5.20454545454545,2.47343372584253,2.29842762688438,46,44,90,-0.360391135311651,1.63904726179386,0.207115804383172,0.639328063241106
"10","isb","Yes",5.61904761904762,5.66265060240964,2.63621579155306,2.17680179606674,105,83,188,-0.649072338916817,0.736278305640858,0.901301781789717,0.0436029833620202
"11","jmu","Yes",4.12121212121212,4.51923076923077,2.50945182955332,2.43737551408923,33,52,85,-0.704518313950277,1.50055560998757,0.473665007089677,0.398018648018648
"12","kenyon","Yes",3.67307692307692,4.75,1.85473589733654,2.36705326861703,52,52,104,0.249202531456884,1.90464362238927,0.0113130661651178,1.07692307692308
"13","krakowon","Yes",4.06382978723404,5.34615384615385,2.39931380878085,2.8689317229187,47,52,99,0.230592702270662,2.33405541556894,0.0173912672240997,1.2823240589198
"14","louvain","Yes",3.06779661016949,3.95348837209302,1.87418402272103,2.59994036902399,59,43,102,-0.0422947256084803,1.81367824945554,0.061092326733094,0.885691761923532
"15","loyola","Yes",4.421875,4.98181818181818,2.30579337124256,2.52178974209309,128,165,293,0.00292919312217644,1.11695717051419,0.0488153738522516,0.559943181818181
"16","lse","Yes",3.2037037037037,4.01724137931035,2.02232473765079,2.14796010376834,54,58,112,0.0325999747656652,1.59447537644762,0.0413227655937504,0.813537675606641
"17","mcdanielonline","Yes",4.5,4.49333333333333,2.36518871277935,2.37881036207991,86,75,161,-0.74707204549165,0.733738712158316,0.985832468598002,-0.00666666666666682
"18","metu","Yes",4.66666666666667,5.77777777777778,2.79400279400419,2.58060035803402,63,63,126,0.162611044510472,2.05961117771175,0.0220557286910496,1.11111111111111
"19","osnabruck","Yes",2.80952380952381,3.95454545454545,2.18908707152921,2.0110687365185,42,44,86,0.242184220787757,2.04785906925553,0.0135653474502988,1.14502164502165
"20","ouhk","Yes",4.94444444444444,5.84375,2.19016560945181,1.96926996461846,36,32,68,-0.107792632797333,1.90640374390844,0.079206510259627,0.899305555555555
"21","puc","Yes",4.82352941176471,4.74468085106383,2.74657459652205,2.48007788365067,34,47,81,-1.26439864515095,1.1067015237492,0.894782871579131,-0.0788485607008758
"22","queensland2","Yes",3.64634146341463,4.07017543859649,2.07496512670093,2.21084703485538,82,57,139,-0.312648458703755,1.16031640906747,0.25670088482921,0.423833975181857
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ritonline","Yes",3.475,4.26086956521739,1.81146632770534,2.34221910549894,40,46,86,-0.106509134771779,1.67824826520656,0.0835411655626511,0.785869565217391
"25","rotterdam","Yes",2.83333333333333,3.51219512195122,1.87464282312277,2.25966757753781,36,41,77,-0.260134423761065,1.61785800099684,0.153958883250272,0.678861788617886
"26","seznam","Yes",2.86046511627907,3.975,1.59733998153533,2.38034149672387,43,40,83,0.219817070504893,2.00925269693697,0.0153976633500738,1.11453488372093
"27","seznamon","Yes",3.69230769230769,4.05660377358491,2.31788613910307,2.02308878792594,65,53,118,-0.427696989415323,1.15628915196975,0.364150255451875,0.364296081277213
"28","simmons","Yes",5.1875,4.64583333333333,2.41146419721879,2.25491975923033,48,48,96,-1.48788105603718,0.404547722703842,0.258569246312943,-0.541666666666667
"29","tamu","Yes",3.22916666666667,4.21621621621622,2.17568363756777,2.48478855723665,48,37,85,-0.0401160830677821,2.01421518216688,0.0593859457803298,0.987049549549549
"30","tamucc","Yes",5.05128205128205,5.12,2.0767981168986,2.05674599346459,39,50,89,-0.810276038276772,0.94771193571267,0.876782691428367,0.068717948717949
"31","tilburg","Yes",3.13333333333333,3.42,1.99544936839254,2.09069854550178,45,50,95,-0.546239062515771,1.1195723958491,0.495997160609898,0.286666666666667
"32","ulatina","Yes",5.13725490196078,5.32407407407407,2.32948902605281,2.27882862065409,102,108,210,-0.440619230407081,0.81425757463366,0.557834656538677,0.18681917211329
"33","umich","Yes",3.41304347826087,3.875,2.06102549400936,2.50320307626562,46,40,86,-0.53193356436272,1.45584660784098,0.357503232482204,0.46195652173913
"34","uned","Yes",4.68292682926829,4.25,2.48434120432605,1.89399295202637,41,44,85,-1.39264724749598,0.526793588959395,0.371704286901868,-0.432926829268292
"35","unswonline","Yes",3.52083333333333,4.53061224489796,2.19273057530708,2.23701848465324,48,49,97,0.116866814536333,1.90269100859292,0.0270819723577639,1.00977891156463
"36","vcu","Yes",3.87719298245614,4.20512820512821,2.13030996603275,2.58721031614614,57,39,96,-0.671512227234141,1.32738267257827,0.515071281691484,0.327935222672065
"37","vuw","Yes",4.07407407407407,4.37777777777778,2.56133700236664,2.28919287968577,54,45,99,-0.664496024507405,1.27190343191481,0.535011822708982,0.303703703703704
"38","westernkentucky","Yes",4.36986301369863,4.97752808988764,2.13767039161709,2.03925971466635,73,89,162,-0.0456202910042909,1.26095044338231,0.0680532587272655,0.607665076189011
"39","yale","Yes",2.89922480620155,3.6038961038961,2.01883692243327,2.43723520410227,129,154,283,0.183250202384404,1.2260923930047,0.00825721434366398,0.704671297694554
