"","study","site","lkl","tempt","undergrads"
"1","ML2","unswonline",1,0,"Yes"
"2","ML2","unswonline",3,1,"Yes"
"3","ML2","unswonline",2,1,"Yes"
"4","ML2","unswonline",2,1,"Yes"
"5","ML2","unswonline",2,0,"Yes"
"6","ML2","unswonline",2,1,"Yes"
"7","ML2","unswonline",4,0,"Yes"
"8","ML2","unswonline",4,0,"Yes"
"9","ML2","unswonline",7,1,"Yes"
"10","ML2","unswonline",6,1,"Yes"
"11","ML2","unswonline",3,1,"Yes"
"12","ML2","unswonline",6,0,"Yes"
"13","ML2","unswonline",3,0,"Yes"
"14","ML2","unswonline",4,1,"Yes"
"15","ML2","unswonline",3,1,"Yes"
"16","ML2","unswonline",3,1,"Yes"
"17","ML2","unswonline",4,0,"Yes"
"18","ML2","unswonline",6,1,"Yes"
"19","ML2","unswonline",7,1,"Yes"
"20","ML2","unswonline",4,0,"Yes"
"21","ML2","unswonline",2,0,"Yes"
"22","ML2","unswonline",6,0,"Yes"
"23","ML2","unswonline",2,0,"Yes"
"24","ML2","unswonline",3,1,"Yes"
"25","ML2","unswonline",6,1,"Yes"
"26","ML2","unswonline",5,1,"Yes"
"27","ML2","unswonline",7,0,"Yes"
"28","ML2","unswonline",2,1,"Yes"
"29","ML2","unswonline",1,0,"Yes"
"30","ML2","unswonline",5,0,"Yes"
"31","ML2","unswonline",8,1,"Yes"
"32","ML2","unswonline",1,0,"Yes"
"33","ML2","unswonline",2,0,"Yes"
"34","ML2","unswonline",5,0,"Yes"
"35","ML2","unswonline",4,0,"Yes"
"36","ML2","unswonline",3,1,"Yes"
"37","ML2","unswonline",1,0,"Yes"
"38","ML2","unswonline",1,0,"Yes"
"39","ML2","unswonline",6,1,"Yes"
"40","ML2","unswonline",2,0,"Yes"
"41","ML2","unswonline",5,0,"Yes"
"42","ML2","unswonline",5,0,"Yes"
"43","ML2","unswonline",5,1,"Yes"
"44","ML2","unswonline",7,1,"Yes"
"45","ML2","unswonline",5,1,"Yes"
"46","ML2","unswonline",1,0,"Yes"
"47","ML2","unswonline",5,0,"Yes"
"48","ML2","unswonline",3,0,"Yes"
"49","ML2","unswonline",4,0,"Yes"
"50","ML2","unswonline",3,0,"Yes"
"51","ML2","unswonline",7,0,"Yes"
"52","ML2","unswonline",7,0,"Yes"
"53","ML2","unswonline",3,1,"Yes"
"54","ML2","unswonline",6,1,"Yes"
"55","ML2","unswonline",2,1,"Yes"
"56","ML2","unswonline",1,1,"Yes"
"57","ML2","unswonline",2,0,"Yes"
"58","ML2","unswonline",10,0,"Yes"
"59","ML2","unswonline",2,1,"Yes"
"60","ML2","unswonline",8,1,"Yes"
"61","ML2","unswonline",5,0,"Yes"
"62","ML2","unswonline",6,1,"Yes"
"63","ML2","unswonline",5,1,"Yes"
"64","ML2","unswonline",2,0,"Yes"
"65","ML2","unswonline",1,0,"Yes"
"66","ML2","unswonline",3,1,"Yes"
"67","ML2","unswonline",8,1,"Yes"
"68","ML2","unswonline",2,1,"Yes"
"69","ML2","unswonline",6,0,"Yes"
"70","ML2","unswonline",7,1,"Yes"
"71","ML2","unswonline",7,1,"Yes"
"72","ML2","unswonline",3,0,"Yes"
"73","ML2","unswonline",1,0,"Yes"
"74","ML2","unswonline",2,0,"Yes"
"75","ML2","unswonline",2,0,"Yes"
"76","ML2","unswonline",2,0,"Yes"
"77","ML2","unswonline",6,0,"Yes"
"78","ML2","unswonline",6,0,"Yes"
"79","ML2","unswonline",3,1,"Yes"
"80","ML2","unswonline",10,1,"Yes"
"81","ML2","unswonline",1,0,"Yes"
"82","ML2","unswonline",6,1,"Yes"
"83","ML2","unswonline",4,1,"Yes"
"84","ML2","unswonline",1,0,"Yes"
"85","ML2","unswonline",6,0,"Yes"
"86","ML2","unswonline",3,1,"Yes"
"87","ML2","unswonline",5,0,"Yes"
"88","ML2","unswonline",6,1,"Yes"
"89","ML2","unswonline",1,1,"Yes"
"90","ML2","unswonline",1,0,"Yes"
"91","ML2","unswonline",5,1,"Yes"
"92","ML2","unswonline",8,1,"Yes"
"93","ML2","unswonline",5,1,"Yes"
"94","ML2","unswonline",3,1,"Yes"
"95","ML2","unswonline",3,1,"Yes"
"96","ML2","unswonline",6,1,"Yes"
"97","ML2","unswonline",1,1,"Yes"
"98","ML2","carleton",1,0,"Yes"
"99","ML2","carleton",6,0,"Yes"
"100","ML2","carleton",4,0,"Yes"
"101","ML2","carleton",7,1,"Yes"
"102","ML2","carleton",2,1,"Yes"
"103","ML2","carleton",7,0,"Yes"
"104","ML2","carleton",2,1,"Yes"
"105","ML2","carleton",1,0,"Yes"
"106","ML2","carleton",1,0,"Yes"
"107","ML2","carleton",3,0,"Yes"
"108","ML2","carleton",7,1,"Yes"
"109","ML2","carleton",7,1,"Yes"
"110","ML2","carleton",3,1,"Yes"
"111","ML2","carleton",4,0,"Yes"
"112","ML2","carleton",2,0,"Yes"
"113","ML2","carleton",1,1,"Yes"
"114","ML2","carleton",5,0,"Yes"
"115","ML2","carleton",3,1,"Yes"
"116","ML2","carleton",3,1,"Yes"
"117","ML2","carleton",2,1,"Yes"
"118","ML2","carleton",2,1,"Yes"
"119","ML2","carleton",9,0,"Yes"
"120","ML2","carleton",4,0,"Yes"
"121","ML2","carleton",5,1,"Yes"
"122","ML2","carleton",7,1,"Yes"
"123","ML2","carleton",7,0,"Yes"
"124","ML2","carleton",3,1,"Yes"
"125","ML2","carleton",7,0,"Yes"
"126","ML2","carleton",5,0,"Yes"
"127","ML2","carleton",3,0,"Yes"
"128","ML2","carleton",5,0,"Yes"
"129","ML2","carleton",1,0,"Yes"
"130","ML2","carleton",8,0,"Yes"
"131","ML2","carleton",2,1,"Yes"
"132","ML2","carleton",1,0,"Yes"
"133","ML2","carleton",5,1,"Yes"
"134","ML2","carleton",1,0,"Yes"
"135","ML2","carleton",5,0,"Yes"
"136","ML2","carleton",5,0,"Yes"
"137","ML2","carleton",3,0,"Yes"
"138","ML2","carleton",2,1,"Yes"
"139","ML2","carleton",4,0,"Yes"
"140","ML2","carleton",3,1,"Yes"
"141","ML2","carleton",8,1,"Yes"
"142","ML2","carleton",4,0,"Yes"
"143","ML2","carleton",4,0,"Yes"
"144","ML2","carleton",4,1,"Yes"
"145","ML2","carleton",9,0,"Yes"
"146","ML2","carleton",2,1,"Yes"
"147","ML2","carleton",1,1,"Yes"
"148","ML2","carleton",2,0,"Yes"
"149","ML2","carleton",6,1,"Yes"
"150","ML2","carleton",5,0,"Yes"
"151","ML2","carleton",3,0,"Yes"
"152","ML2","carleton",4,1,"Yes"
"153","ML2","carleton",7,0,"Yes"
"154","ML2","carleton",1,1,"Yes"
"155","ML2","carleton",5,1,"Yes"
"156","ML2","carleton",3,0,"Yes"
"157","ML2","carleton",6,1,"Yes"
"158","ML2","carleton",7,1,"Yes"
"159","ML2","carleton",10,1,"Yes"
"160","ML2","carleton",2,0,"Yes"
"161","ML2","carleton",5,1,"Yes"
"162","ML2","carleton",5,1,"Yes"
"163","ML2","carleton",1,0,"Yes"
"164","ML2","carleton",2,1,"Yes"
"165","ML2","carleton",5,1,"Yes"
"166","ML2","carleton",6,0,"Yes"
"167","ML2","carleton",1,0,"Yes"
"168","ML2","carleton",1,1,"Yes"
"169","ML2","carleton",6,0,"Yes"
"170","ML2","carleton",5,0,"Yes"
"171","ML2","carleton",1,0,"Yes"
"172","ML2","carleton",8,1,"Yes"
"173","ML2","carleton",3,1,"Yes"
"174","ML2","carleton",1,0,"Yes"
"175","ML2","carleton",3,1,"Yes"
"176","ML2","carleton",5,0,"Yes"
"177","ML2","carleton",2,1,"Yes"
"178","ML2","carleton",7,0,"Yes"
"179","ML2","carleton",3,0,"Yes"
"180","ML2","carleton",10,1,"Yes"
"181","ML2","carleton",3,0,"Yes"
"182","ML2","carleton",5,0,"Yes"
"183","ML2","carleton",5,1,"Yes"
"184","ML2","carleton",1,0,"Yes"
"185","ML2","carleton",2,0,"Yes"
"186","ML2","carleton",1,0,"Yes"
"187","ML2","carleton",3,1,"Yes"
"188","ML2","carleton",5,0,"Yes"
"189","ML2","carleton",7,1,"Yes"
"190","ML2","carleton",1,0,"Yes"
"191","ML2","carleton",1,1,"Yes"
"192","ML2","carleton",5,1,"Yes"
"193","ML2","carleton",6,0,"Yes"
"194","ML2","carleton",8,0,"Yes"
"195","ML2","carleton",3,1,"Yes"
"196","ML2","carleton",3,1,"Yes"
"197","ML2","carleton",6,0,"Yes"
"198","ML2","carleton",7,1,"Yes"
"199","ML2","carleton",3,1,"Yes"
"200","ML2","carleton",3,0,"Yes"
"201","ML2","carleton",3,1,"Yes"
"202","ML2","carleton",4,1,"Yes"
"203","ML2","carleton",3,0,"Yes"
"204","ML2","carleton",6,0,"Yes"
"205","ML2","carleton",3,1,"Yes"
"206","ML2","carleton",8,1,"Yes"
"207","ML2","carleton",1,1,"Yes"
"208","ML2","carleton",7,1,"Yes"
"209","ML2","carleton",10,1,"Yes"
"210","ML2","carleton",6,0,"Yes"
"211","ML2","carleton",1,1,"Yes"
"212","ML2","carleton",1,0,"Yes"
"213","ML2","carleton",3,0,"Yes"
"214","ML2","carleton",1,1,"Yes"
"215","ML2","carleton",5,0,"Yes"
"216","ML2","carleton",3,1,"Yes"
"217","ML2","carleton",1,1,"Yes"
"218","ML2","seznam",2,0,"Yes"
"219","ML2","seznam",2,0,"Yes"
"220","ML2","seznam",5,0,"Yes"
"221","ML2","seznam",2,0,"Yes"
"222","ML2","seznam",6,0,"Yes"
"223","ML2","seznam",2,0,"Yes"
"224","ML2","seznam",3,0,"Yes"
"225","ML2","seznam",3,0,"Yes"
"226","ML2","seznam",3,1,"Yes"
"227","ML2","seznam",6,1,"Yes"
"228","ML2","seznam",3,1,"Yes"
"229","ML2","seznam",3,0,"Yes"
"230","ML2","seznam",3,0,"Yes"
"231","ML2","seznam",7,1,"Yes"
"232","ML2","seznam",4,1,"Yes"
"233","ML2","seznam",5,0,"Yes"
"234","ML2","seznam",1,1,"Yes"
"235","ML2","seznam",6,1,"Yes"
"236","ML2","seznam",6,0,"Yes"
"237","ML2","seznam",5,1,"Yes"
"238","ML2","seznam",2,0,"Yes"
"239","ML2","seznam",3,0,"Yes"
"240","ML2","seznam",4,0,"Yes"
"241","ML2","seznam",10,1,"Yes"
"242","ML2","seznam",4,1,"Yes"
"243","ML2","seznam",2,0,"Yes"
"244","ML2","seznam",3,0,"Yes"
"245","ML2","seznam",4,0,"Yes"
"246","ML2","seznam",1,0,"Yes"
"247","ML2","seznam",1,1,"Yes"
"248","ML2","seznam",3,0,"Yes"
"249","ML2","seznam",1,1,"Yes"
"250","ML2","seznam",2,1,"Yes"
"251","ML2","seznam",2,1,"Yes"
"252","ML2","seznam",5,1,"Yes"
"253","ML2","seznam",1,0,"Yes"
"254","ML2","seznam",3,1,"Yes"
"255","ML2","seznam",5,1,"Yes"
"256","ML2","seznam",2,0,"Yes"
"257","ML2","seznam",7,0,"Yes"
"258","ML2","seznam",2,1,"Yes"
"259","ML2","seznam",2,1,"Yes"
"260","ML2","seznam",7,1,"Yes"
"261","ML2","seznam",2,0,"Yes"
"262","ML2","seznam",8,1,"Yes"
"263","ML2","seznam",2,1,"Yes"
"264","ML2","seznam",2,0,"Yes"
"265","ML2","seznam",3,0,"Yes"
"266","ML2","seznam",5,1,"Yes"
"267","ML2","seznam",2,0,"Yes"
"268","ML2","seznam",7,1,"Yes"
"269","ML2","seznam",7,1,"Yes"
"270","ML2","seznam",1,0,"Yes"
"271","ML2","seznam",4,0,"Yes"
"272","ML2","seznam",3,0,"Yes"
"273","ML2","seznam",5,1,"Yes"
"274","ML2","seznam",1,0,"Yes"
"275","ML2","seznam",2,0,"Yes"
"276","ML2","seznam",1,1,"Yes"
"277","ML2","seznam",1,0,"Yes"
"278","ML2","seznam",5,0,"Yes"
"279","ML2","seznam",2,0,"Yes"
"280","ML2","seznam",2,1,"Yes"
"281","ML2","seznam",7,0,"Yes"
"282","ML2","seznam",2,1,"Yes"
"283","ML2","seznam",2,0,"Yes"
"284","ML2","seznam",3,0,"Yes"
"285","ML2","seznam",9,1,"Yes"
"286","ML2","seznam",3,0,"Yes"
"287","ML2","seznam",4,1,"Yes"
"288","ML2","seznam",6,1,"Yes"
"289","ML2","seznam",2,0,"Yes"
"290","ML2","seznam",2,1,"Yes"
"291","ML2","seznam",2,1,"Yes"
"292","ML2","seznam",5,1,"Yes"
"293","ML2","seznam",3,1,"Yes"
"294","ML2","seznam",3,1,"Yes"
"295","ML2","seznam",1,1,"Yes"
"296","ML2","seznam",1,0,"Yes"
"297","ML2","seznam",1,0,"Yes"
"298","ML2","seznam",2,0,"Yes"
"299","ML2","seznam",4,1,"Yes"
"300","ML2","seznam",2,1,"Yes"
"301","ML2","seznamon",6,0,"Yes"
"302","ML2","seznamon",1,1,"Yes"
"303","ML2","seznamon",1,0,"Yes"
"304","ML2","seznamon",7,0,"Yes"
"305","ML2","seznamon",2,1,"Yes"
"306","ML2","seznamon",4,0,"Yes"
"307","ML2","seznamon",2,0,"Yes"
"308","ML2","seznamon",6,1,"Yes"
"309","ML2","seznamon",2,1,"Yes"
"310","ML2","seznamon",2,1,"Yes"
"311","ML2","seznamon",2,0,"Yes"
"312","ML2","seznamon",5,1,"Yes"
"313","ML2","seznamon",3,1,"Yes"
"314","ML2","seznamon",3,1,"Yes"
"315","ML2","seznamon",7,1,"Yes"
"316","ML2","seznamon",2,0,"Yes"
"317","ML2","seznamon",1,0,"Yes"
"318","ML2","seznamon",3,1,"Yes"
"319","ML2","seznamon",2,0,"Yes"
"320","ML2","seznamon",1,0,"Yes"
"321","ML2","seznamon",5,1,"Yes"
"322","ML2","seznamon",4,0,"Yes"
"323","ML2","seznamon",2,0,"Yes"
"324","ML2","seznamon",6,0,"Yes"
"325","ML2","seznamon",5,1,"Yes"
"326","ML2","seznamon",6,1,"Yes"
"327","ML2","seznamon",2,1,"Yes"
"328","ML2","seznamon",2,1,"Yes"
"329","ML2","seznamon",8,0,"Yes"
"330","ML2","seznamon",2,0,"Yes"
"331","ML2","seznamon",9,1,"Yes"
"332","ML2","seznamon",6,0,"Yes"
"333","ML2","seznamon",5,0,"Yes"
"334","ML2","seznamon",6,0,"Yes"
"335","ML2","seznamon",4,0,"Yes"
"336","ML2","seznamon",1,0,"Yes"
"337","ML2","seznamon",2,0,"Yes"
"338","ML2","seznamon",8,0,"Yes"
"339","ML2","seznamon",2,0,"Yes"
"340","ML2","seznamon",7,1,"Yes"
"341","ML2","seznamon",7,0,"Yes"
"342","ML2","seznamon",4,1,"Yes"
"343","ML2","seznamon",1,0,"Yes"
"344","ML2","seznamon",1,1,"Yes"
"345","ML2","seznamon",2,1,"Yes"
"346","ML2","seznamon",7,0,"Yes"
"347","ML2","seznamon",2,0,"Yes"
"348","ML2","seznamon",5,0,"Yes"
"349","ML2","seznamon",3,1,"Yes"
"350","ML2","seznamon",5,1,"Yes"
"351","ML2","seznamon",2,1,"Yes"
"352","ML2","seznamon",7,1,"Yes"
"353","ML2","seznamon",2,0,"Yes"
"354","ML2","seznamon",3,0,"Yes"
"355","ML2","seznamon",6,1,"Yes"
"356","ML2","seznamon",1,0,"Yes"
"357","ML2","seznamon",1,0,"Yes"
"358","ML2","seznamon",2,0,"Yes"
"359","ML2","seznamon",3,0,"Yes"
