"","study","site","est","lo","hi","se"
"1","ML2","amity",-0.267441860465117,-0.926867527236284,0.391983806306051,0.33383781560885
"2","ML2","amityon",1.12937062937063,-0.176691269183267,2.43543252792453,0.648847311929651
"3","ML2","armstrong",0.769876819708847,-0.366403618886861,1.90615725830455,0.571293823998612
"4","ML2","aus2",1.03086419753086,0.330476757920177,1.73125163714155,0.354903789676837
"5","ML2","badaniaon",1.12938596491228,-0.245754127471893,2.50452605729645,0.680917155190782
"6","ML2","bogota",0.0538011695906435,-0.942564990350061,1.05016732953135,0.502207894941046
"7","ML2","brookcuny",1.00340136054422,0.342493491548842,1.6643092295396,0.33493692743285
"8","ML2","carleton",0.151430953042514,-0.724297078312976,1.027158984398,0.44222607859955
"9","ML2","cas",-0.170909090909092,-1.57976006452807,1.23794188270989,0.699492876779192
"10","ML2","csunorthonline",0.429606625258799,-0.571518537415804,1.4307317879334,0.503600752747565
"11","ML2","fmkbelgrade",0.916019237883834,0.128080776152721,1.70395769961495,0.397247464207202
"12","ML2","georgefox",0.553333333333332,-0.172715113404445,1.27938178007111,0.367167485887053
"13","ML2","grazvienna",0.442561205273071,-0.326942168092734,1.21206457863888,0.387953220479761
"14","ML2","hawaiion",0.335026737967913,-0.501076467922426,1.17112994385825,0.422324734761414
"15","ML2","help",0.639328063241106,-0.362027039649537,1.64068316613175,0.503879741255417
"16","ML2","isb",0.0436029833620232,-0.664653646319377,0.751859613043423,0.359010841826744
"17","ML2","jmu",0.398018648018648,-0.693337766814653,1.48937506285195,0.548707131089995
"18","ML2","jos",0.177272727272728,-0.686209938504763,1.04075539305022,0.434828218777686
"19","ML2","kenyon",1.07692307692308,0.249770867201378,1.90407528664477,0.417017487766017
"20","ML2","krakowon",1.2823240589198,0.221135742607561,2.34351237523205,0.534678248226383
"21","ML2","kwazulu",1.0222972972973,0.00530231669130554,2.03929227790329,0.510513468680707
"22","ML2","louvain",0.88569176192353,0.00722957498946764,1.76415394885759,0.442779636064435
"23","ML2","loyola",0.559943181818185,-0.00334519307749104,1.12323155671386,0.286202018378099
"24","ML2","lse",0.813537675606644,0.0309051611304677,1.59617019008282,0.394916855962915
"25","ML2","mcdanielonline",-0.00666666666666658,-0.746662800430714,0.733329467097381,0.37468230520155
"26","ML2","metu",1.11111111111111,0.162669795493521,2.0595524267287,0.479184986329525
"27","ML2","moralsense",0.332650901729843,-0.000816552909533863,0.666118356369219,0.169892075889615
"28","ML2","mturk",0.205703211517166,-0.311414901427997,0.722821324462328,0.262895877478842
"29","ML2","mturk_india",-0.499211770888073,-0.978393939171746,-0.0200296026043998,0.243658658577528
"30","ML2","munich",0.242735042735044,-0.686800603341959,1.17227068881205,0.467263346406911
"31","ML2","munichon",0.715910084842124,0.135291625800082,1.29652854388417,0.294548218357555
"32","ML2","northumbria",0.70448717948718,-0.32157104318346,1.73054540215782,0.515282339136036
"33","ML2","osnabruck",1.14502164502165,0.244207897447131,2.04583539259616,0.452986708520068
"34","ML2","ouhk",0.899305555555555,-0.114178598703867,1.91278970981498,0.507614051737556
"35","ML2","padua",1.61298701298701,0.822965386451501,2.40300863952252,0.396745703796135
"36","ML2","pascal",0.874735729386894,0.284094316569132,1.46537714220466,0.299232851348246
"37","ML2","psualtoona",-0.130617977528091,-0.854901644310606,0.593665689254424,0.366983731986212
"38","ML2","puc",-0.078848560700875,-1.24162879720974,1.08393167580799,0.584179514027846
"39","ML2","queensland2",0.423833975181854,-0.303043127161224,1.15071107752493,0.367586542489449
"40","ML2","radboud",0.267857142857142,-0.995016431846132,1.53073071756042,0.616514924663111
"41","ML2","ritonline",0.785869565217391,-0.122318575689809,1.69405770612459,0.456695024664332
"42","ML2","rotterdam",0.678861788617885,-0.271565590778488,1.62928916801426,0.477097711825125
"43","ML2","salford",0.118401206636501,-0.746787678653607,0.983590091926608,0.436142241060427
"44","ML2","seznam",1.11453488372093,0.234813693981992,1.99425607345987,0.442140642656929
"45","ML2","seznamon",0.364296081277213,-0.438714475651433,1.16730663820586,0.405432704575044
"46","ML2","simmons",-0.541666666666667,-1.48782564948049,0.404492316147159,0.476528739406036
