"site","group","is.mturk","site.int.est","site.int.pval","site.int.SE","site.int.lo","site.int.hi","site.main.est","site.main.pval","site.main.SE","site.main.lo","site.main.hi","pval.load","pval.no.load","d.load","d.no.load","g.int","g.int.se","site.n","site.n.excl"
"MTurk","a.mturk",TRUE,-0.201238077658801,0.249188083228468,0.174602529630656,-0.543592313055291,0.141116157737688,0.21328548644337,0.0660371696278473,0.115988562426148,-0.014140632113677,0.440711605000418,0.924929547878154,0.0704521381286576,0.00520391897512852,0.0888281504815297,-0.0851216370109313,0.07385507415555,2973,162
"U Penn","b.similar",FALSE,0.174597472277941,0.677326759879255,0.419219026849839,-0.650072086915969,0.999267031471851,0.233630375823325,0.419146100612486,0.288820066737423,-0.33452398232326,0.801784733969911,0.199476897048122,0.400010487822686,0.204313756056314,0.12709582794782,0.0909340175899948,0.218338042723427,335,24
"UCB","b.similar",FALSE,-0.493811588490346,0.429661474983385,0.623964332340072,-1.72435736914504,0.736734192164344,-0.227118644067795,0.579603053858133,0.409304415856789,-1.03432475478727,0.580087466651681,0.162915560416548,0.551228349725804,-0.303593812428521,-0.111947121775298,-0.225264503907092,0.284636932498912,200,23
"UVA","b.similar",FALSE,0.100877192982458,0.885354696536486,0.698425528358758,-1.27937459994293,1.48112898590785,0.0350877192982445,0.942878963609358,0.488860836342018,-0.931015348895275,1.00119078749176,0.788922047769453,0.942181088694222,0.0625089571353891,0.0165895204450702,0.0467954630675674,0.323989447480387,151,5
"Stanford","b.similar",FALSE,-0.200000000000002,0.838087756771495,0.974784817185216,-2.14735653586956,1.74735653586956,0.666666666666667,0.307416988769245,0.647964673105404,-0.627791575746268,1.9611249090796,0.591613117579109,0.220901878471618,0.198301761012733,0.401003765693668,-0.0991013510030229,0.483012461601441,68,1
"Eotvos","c.dissimilar",FALSE,-0.987031779719408,0.0479200010869293,0.496796902106274,-1.96496281947015,-0.00910073996866434,1.05846035114798,0.00263676629762222,0.348822882736295,0.371812099202596,1.74510860309337,0.836713061400771,0.00351720921627898,0.0349030749451065,0.495365666470529,-0.470382243146508,0.236754728674913,284,7
"KUL","c.dissimilar",FALSE,0.714072367298171,0.205410635429384,0.560690793870405,-0.396651776905069,1.82479651150141,0.0967741935483892,0.800865548732887,0.382784768382552,-0.661519484399919,0.855067871496697,0.0349814426204085,0.813834216419743,0.583608205835889,0.0596215776455669,0.467013092499479,0.366699446124998,118,9
"UP","c.dissimilar",FALSE,0.0427807486631006,0.961796727371889,0.890576045484806,-1.72733557472734,1.81289707205354,3.61333125482586e-16,1,0.580254953068639,-1.1533195501523,1.15331955015231,0.949143133344848,1,0.0204722668265695,0,0.0202715434126872,0.421997078885058,91,13
"BYUI","c.dissimilar",FALSE,-0.291438314456221,0.762164103139165,0.959705501224004,-2.20131312761878,1.61843649870633,0.0869565217391319,0.892851320644221,0.643519692089982,-1.19368847834607,1.36760152182433,0.761498926457287,0.8995922944791,-0.102446361798887,0.0374228682431064,-0.132291604780121,0.4356358604054,84,6
"URI","c.dissimilar",FALSE,-0.0060634613737342,0.993935535430805,0.795158933956554,-1.58942718364706,1.5773002608996,0.0494071146245076,0.925931608190367,0.529723424949434,-1.00540698364624,1.10422121289526,0.950332324619822,0.91349636802255,0.0210219452266301,0.0326579309979103,-0.00338016300012944,0.443272685701504,81,9
"RHIT","c.dissimilar",FALSE,-0.295238095238096,0.818869902100853,1.28274730583199,-2.86925887818734,2.27878268771115,0.261904761904764,0.769241274621841,0.888101130306784,-1.52020053379702,2.04401005760655,0.965063882089879,0.789500936684701,-0.0159833348730613,0.0991845557935782,-0.121747245870128,0.528966126496741,56,2
