"WorkerID" "ValidCode" "Load" "Had.read" "Likelihood" "End.num" "Effort"
"1" "" 4239835 0 1 0 NA NA
"2" "99999" 4235267 0 1 6 NA NA
"3" "" 4236837 0 1 2 NA NA
"4" "" 4239670 1 0 5 549 5
"5" "" 4231195 0 1 2 NA NA
"6" "" 4232175 0 1 3 NA NA
"7" "" 4238252 1 1 2 530 4
"8" "A1SAGI4LU97YL4" 4230652 0 1 6 NA NA
"9" "99999" 4237556 1 0 3 522 4
"10" "" 4237993 0 1 1 NA NA
"11" "" 4231056 0 0 5 NA NA
"12" "99999" 4234510 0 0 5 NA NA
"13" "99999" 4230486 1 0 6 543 5
"14" "" 4230192 1 1 1 474 4
"15" "" 4230678 1 1 2 531 4
"16" "" 4231261 0 0 2 NA NA
"17" "99999" 4231738 1 1 5 546 3
"18" "" 4237060 0 0 1 NA NA
"19" "" 4237303 1 1 1 552 2
"20" "A1Q0MQQ4MEQMPW" 4233888 0 1 3 NA NA
"21" "" 4235229 0 0 5 NA NA
"22" "99999" 4234829 1 1 4 561 2
"23" "" 4234987 0 0 5 NA NA
"24" "A3B4CNX1GH6O54" 4230145 1 0 3 546 2
"25" "A2R9LHXDJNUPMY" 4234798 1 0 0 525 4
"26" "" 4239919 0 0 3 NA NA
"27" "A1EZGAHYPLG4TG" 4236666 0 1 5 NA NA
"28" "" 4235740 1 0 9 531 3
"29" "99999" 4237748 1 0 4 552 2
"30" "99999" 4235704 0 0 6 NA NA
"31" "99999" 4230827 0 0 7 NA NA
"32" "A2A35Y6TXQXF5N" 4232812 1 1 3 490 0
"33" "99999" 4232067 0 0 2 NA NA
"34" "" 4237069 0 0 1 NA NA
"35" "A32TBIJ0LPVZR9" 4233356 1 1 6 510 3
"36" "" 4236658 0 1 0 NA NA
"37" "" 4236711 0 0 2 NA NA
"38" "99999" 4232653 0 1 1 NA NA
"39" "" 4232776 0 1 1 NA NA
"40" "" 4230760 0 1 4 NA NA
"41" "" 4232643 0 0 5 NA NA
"42" "" 4239427 1 1 3 540 3
"43" "" 4239206 0 1 5 NA NA
"44" "" 4239051 0 1 2 NA NA
"45" "A2PFA4B4I55YFI" 4232669 1 1 7 554 3
"46" "" 4237367 1 1 7 543 2
"47" "ANTIW9BIA24AU" 4237759 1 0 2 511 2
"48" "A3AJLUNBK4EU68" 4236076 1 0 4 546 3
"49" "A2WDTJBM4ES5S4" 4233925 1 0 4 528 4
"50" "" 4236964 0 0 1 NA NA
"51" "A10TFY9WX88XOA" 4235775 0 1 10 NA NA
"52" "A2D53MXGGGYMZD" 4239127 1 1 5 500 1
"53" "" 4233066 0 1 3 NA NA
"54" "99999" 4239005 0 1 0 NA NA
"55" "" 4239279 1 1 3 554 3
"56" "AQ6DF2KWXCD5H" 4235019 0 0 3 NA NA
"57" "" 4239878 1 1 1 534 2
"58" "99999" 4237348 0 1 1 NA NA
"59" "ASCANSH1IOISP" 4238136 0 1 2 NA NA
"60" "" 4232596 0 0 2 NA NA
