id,.site.name,.group,had.read,load,lkl,eff.split,count.eff,count.hard,badness,importance,end.num,tempt,excluded,n.excl
1,Eotvos,c.dissimilar,1,0,1,NA,NA,NA,10,7,NA,0,0,7
2,Eotvos,c.dissimilar,0,0,3,NA,NA,NA,7,8,NA,1,0,7
3,Eotvos,c.dissimilar,1,0,5,NA,NA,NA,10,3,NA,0,0,7
4,Eotvos,c.dissimilar,1,0,2,NA,NA,NA,3,5,NA,0,0,7
5,Eotvos,c.dissimilar,0,0,4,NA,NA,NA,5,7,NA,1,0,7
6,Eotvos,c.dissimilar,1,1,3,4,7,6,9,9,534,0,0,7
7,Eotvos,c.dissimilar,0,0,2,NA,NA,NA,5,7,NA,1,0,7
8,Eotvos,c.dissimilar,0,1,5,3,8,8,6,6,537,1,0,7
9,Eotvos,c.dissimilar,0,1,1,4,7,5,6,4,543,1,0,7
10,Eotvos,c.dissimilar,1,1,7,4,6,5,7,7,423,0,0,7
12,Eotvos,c.dissimilar,1,1,2,1,5,6,8,7,510,0,0,7
13,Eotvos,c.dissimilar,0,1,1,4,9,8,2,10,537,1,0,7
14,Eotvos,c.dissimilar,0,1,2,4,3,2,9,7,522,1,0,7
15,Eotvos,c.dissimilar,1,1,5,4,3,3,5,5,522,0,0,7
16,Eotvos,c.dissimilar,0,1,3,1,5,6,9,6,500,1,0,7
17,Eotvos,c.dissimilar,1,0,1,NA,NA,NA,10,9,NA,0,0,7
18,Eotvos,c.dissimilar,1,0,2,NA,NA,NA,3,5,NA,0,0,7
19,Eotvos,c.dissimilar,1,0,2,NA,NA,NA,4,6,NA,0,0,7
20,Eotvos,c.dissimilar,0,0,5,NA,NA,NA,10,8,NA,1,0,7
21,Eotvos,c.dissimilar,0,0,3,NA,NA,NA,8,8,NA,1,0,7
22,Eotvos,c.dissimilar,1,0,1,NA,NA,NA,9,8,NA,0,0,7
23,Eotvos,c.dissimilar,0,0,8,NA,NA,NA,3,3,NA,1,0,7
24,Eotvos,c.dissimilar,0,1,5,4,5,4,8,8,522,1,0,7
25,Eotvos,c.dissimilar,1,1,8,4,7,6,10,10,549,0,0,7
26,Eotvos,c.dissimilar,1,1,3,2,7,7,9,9,537,0,0,7
27,Eotvos,c.dissimilar,0,1,3,1,7,7,4,3,500,1,0,7
29,Eotvos,c.dissimilar,0,1,6,4,6,7,9,6,504,1,0,7
30,Eotvos,c.dissimilar,0,0,1,NA,NA,NA,6,5,NA,1,0,7
31,Eotvos,c.dissimilar,1,0,4,NA,NA,NA,10,9,NA,0,0,7
32,Eotvos,c.dissimilar,1,0,1,NA,NA,NA,3,6,NA,0,0,7
33,Eotvos,c.dissimilar,0,0,3,NA,NA,NA,8,7,NA,1,0,7
34,Eotvos,c.dissimilar,0,0,7,NA,NA,NA,10,10,NA,1,0,7
35,Eotvos,c.dissimilar,1,0,6,NA,NA,NA,8,8,NA,0,0,7
36,Eotvos,c.dissimilar,0,0,7,NA,NA,NA,5,5,NA,1,0,7
37,Eotvos,c.dissimilar,1,1,7,3,5,4,10,8,531,0,0,7
38,Eotvos,c.dissimilar,0,1,2,3,7,7,9,10,501,1,0,7
39,Eotvos,c.dissimilar,0,1,6,4,6,6,8,8,543,1,0,7
40,Eotvos,c.dissimilar,0,1,1,4,7,6,5,3,514,1,0,7
41,Eotvos,c.dissimilar,0,1,2,2,6,6,9,8,540,1,0,7
42,Eotvos,c.dissimilar,1,1,3,5,10,6,7,6,512,0,0,7
43,Eotvos,c.dissimilar,1,1,3,4,7,3,8,10,519,0,0,7
44,Eotvos,c.dissimilar,1,0,10,NA,NA,NA,8,6,NA,0,0,7
45,Eotvos,c.dissimilar,0,0,3,NA,NA,NA,6,8,NA,1,0,7
46,Eotvos,c.dissimilar,1,0,1,NA,NA,NA,8,3,NA,0,0,7
47,Eotvos,c.dissimilar,0,0,4,NA,NA,NA,9,8,NA,1,0,7
48,Eotvos,c.dissimilar,1,0,2,NA,NA,NA,4,6,NA,0,0,7
49,Eotvos,c.dissimilar,0,0,4,NA,NA,NA,9,8,NA,1,0,7
50,Eotvos,c.dissimilar,1,1,2,3,5,3,2,7,540,0,0,7
51,Eotvos,c.dissimilar,0,1,5,3,9,9,8,3,530,1,0,7
52,Eotvos,c.dissimilar,1,1,2,5,8,3,1,3,540,0,0,7
53,Eotvos,c.dissimilar,0,1,1,4,6,2,10,8,501,1,0,7
54,Eotvos,c.dissimilar,1,0,1,NA,NA,NA,9,4,NA,0,0,7
55,Eotvos,c.dissimilar,1,0,4,NA,NA,NA,8,8,NA,0,0,7
56,Eotvos,c.dissimilar,0,0,3,NA,NA,NA,8,7,NA,1,0,7
57,Eotvos,c.dissimilar,1,0,5,NA,NA,NA,10,7,NA,0,0,7
58,Eotvos,c.dissimilar,0,0,1,NA,NA,NA,7,8,NA,1,0,7
59,Eotvos,c.dissimilar,0,0,2,NA,NA,NA,8,8,NA,1,0,7
60,Eotvos,c.dissimilar,1,0,1,NA,NA,NA,5,7,NA,0,0,7
61,Eotvos,c.dissimilar,1,1,5,6,7,7,8,8,540,0,0,7
62,Eotvos,c.dissimilar,1,1,6,5,7,6,7,6,513,0,0,7
63,Eotvos,c.dissimilar,0,1,5,2,6,6,8,6,546,1,0,7
64,Eotvos,c.dissimilar,0,1,5,4,4,2,5,8,501,1,0,7
65,Eotvos,c.dissimilar,1,1,3,4,7,6,8,9,519,0,0,7
66,Eotvos,c.dissimilar,0,1,7,3,6,3,9,10,531,1,0,7
67,Eotvos,c.dissimilar,1,1,2,5,6,8,8,6,537,0,0,7
68,Eotvos,c.dissimilar,1,1,4,5,4,3,9,6,512,0,0,7
69,Eotvos,c.dissimilar,1,0,5,NA,NA,NA,7,6,NA,0,0,7
70,Eotvos,c.dissimilar,1,0,1,NA,NA,NA,8,9,NA,0,0,7
71,Eotvos,c.dissimilar,1,0,2,NA,NA,NA,8,4,NA,0,0,7
72,Eotvos,c.dissimilar,0,0,7,NA,NA,NA,10,6,NA,1,0,7
73,Eotvos,c.dissimilar,0,0,6,NA,NA,NA,7,5,NA,1,0,7
74,Eotvos,c.dissimilar,0,0,7,NA,NA,NA,10,9,NA,1,0,7
75,Eotvos,c.dissimilar,0,0,8,NA,NA,NA,9,4,NA,1,0,7
76,Eotvos,c.dissimilar,0,0,3,NA,NA,NA,10,5,NA,1,0,7
77,Eotvos,c.dissimilar,1,0,2,NA,NA,NA,9,8,NA,0,0,7
78,Eotvos,c.dissimilar,0,1,5,5,9,7,9,10,531,1,0,7
79,Eotvos,c.dissimilar,0,1,3,5,6,4,10,10,537,1,0,7
80,Eotvos,c.dissimilar,1,1,5,5,10,10,7,10,541,0,0,7
81,Eotvos,c.dissimilar,0,1,5,3,8,8,10,10,535,1,0,7
82,Eotvos,c.dissimilar,1,1,4,5,7,7,7,5,524,0,0,7
83,Eotvos,c.dissimilar,0,1,6,4,7,5,8,8,497,1,0,7
85,Eotvos,c.dissimilar,1,1,5,2,6,6,5,6,525,0,0,7
86,Eotvos,c.dissimilar,0,0,7,NA,NA,NA,5,5,NA,1,0,7
87,Eotvos,c.dissimilar,1,0,4,NA,NA,NA,5,9,NA,0,0,7
88,Eotvos,c.dissimilar,1,0,1,NA,NA,NA,5,6,NA,0,0,7
89,Eotvos,c.dissimilar,1,0,2,NA,NA,NA,7,8,NA,0,0,7
90,Eotvos,c.dissimilar,0,0,2,NA,NA,NA,9,8,NA,1,0,7
91,Eotvos,c.dissimilar,1,0,1,NA,NA,NA,7,8,NA,0,0,7
92,Eotvos,c.dissimilar,0,0,1,NA,NA,NA,3,3,NA,1,0,7
93,Eotvos,c.dissimilar,1,0,5,NA,NA,NA,9,8,NA,0,0,7
94,Eotvos,c.dissimilar,1,1,5,1,8,10,7,5,551,0,0,7
95,Eotvos,c.dissimilar,0,1,1,1,8,7,6,5,542,1,0,7
96,Eotvos,c.dissimilar,1,1,5,4,6,6,7,8,522,0,0,7
97,Eotvos,c.dissimilar,1,1,8,3,7,7,10,10,545,0,0,7
98,Eotvos,c.dissimilar,0,1,3,5,7,9,6,3,526,1,0,7
99,Eotvos,c.dissimilar,0,1,3,4,8,5,8,6,531,1,0,7
100,Eotvos,c.dissimilar,1,1,2,1,4,9,2,2,463,0,0,7
101,Eotvos,c.dissimilar,0,0,3,NA,NA,NA,10,7,NA,1,0,7
102,Eotvos,c.dissimilar,0,0,0,NA,NA,NA,7,6,NA,1,0,7
103,Eotvos,c.dissimilar,1,0,1,NA,NA,NA,6,3,NA,0,0,7
104,Eotvos,c.dissimilar,1,0,3,NA,NA,NA,9,7,NA,0,0,7
105,Eotvos,c.dissimilar,0,0,6,NA,NA,NA,4,5,NA,1,0,7
106,Eotvos,c.dissimilar,1,0,3,NA,NA,NA,3,8,NA,0,0,7
