id,.site.name,.group,had.read,load,lkl,eff.split,count.eff,count.hard,badness,importance,end.num,tempt,excluded,n.excl
1,KUL,c.dissimilar,1,0,2,NA,NA,NA,8,5,NA,0,0,9
3,KUL,c.dissimilar,0,1,2,4,9,7,9,7,525,1,0,9
4,KUL,c.dissimilar,0,0,7,NA,NA,NA,8,9,NA,1,0,9
5,KUL,c.dissimilar,1,1,2,3,9,8,7,6,343,0,0,9
6,KUL,c.dissimilar,0,1,2,4,5,4,9,8,504,1,0,9
7,KUL,c.dissimilar,0,0,3,NA,NA,NA,8,8,NA,1,0,9
8,KUL,c.dissimilar,1,1,2,1,10,9,6,7,246,0,0,9
9,KUL,c.dissimilar,1,0,0,NA,NA,NA,4,1,NA,0,0,9
10,KUL,c.dissimilar,1,1,3,5,8,8,7,9,534,0,0,9
11,KUL,c.dissimilar,0,1,3,3,8,9,4,5,546,1,0,9
12,KUL,c.dissimilar,0,0,2,NA,NA,NA,8,5,NA,1,0,9
13,KUL,c.dissimilar,0,0,2,NA,NA,NA,5,4,NA,1,0,9
14,KUL,c.dissimilar,0,1,4,6,6,6,7,4,540,1,0,9
15,KUL,c.dissimilar,1,1,5,2,5,3,9,10,543,0,0,9
16,KUL,c.dissimilar,1,0,1,NA,NA,NA,5,7,NA,0,0,9
17,KUL,c.dissimilar,0,1,1,4,9,9,9,9,491,1,0,9
18,KUL,c.dissimilar,1,0,0,NA,NA,NA,4,8,NA,0,0,9
19,KUL,c.dissimilar,0,0,1,NA,NA,NA,9,9,NA,1,0,9
20,KUL,c.dissimilar,1,0,3,NA,NA,NA,4,3,NA,0,0,9
21,KUL,c.dissimilar,1,1,1,1,8,7,7,7,546,0,0,9
22,KUL,c.dissimilar,0,1,2,4,7,7,8,6,528,1,0,9
23,KUL,c.dissimilar,0,0,1,NA,NA,NA,7,4,NA,1,0,9
24,KUL,c.dissimilar,0,1,4,3,10,9,7,8,534,1,0,9
25,KUL,c.dissimilar,1,0,0,NA,NA,NA,9,10,NA,0,0,9
26,KUL,c.dissimilar,1,1,3,2,9,5,10,9,528,0,0,9
27,KUL,c.dissimilar,1,0,6,NA,NA,NA,9,10,NA,0,0,9
28,KUL,c.dissimilar,1,1,1,4,6,7,8,2,549,0,0,9
29,KUL,c.dissimilar,0,0,6,NA,NA,NA,3,7,NA,1,0,9
31,KUL,c.dissimilar,1,0,4,NA,NA,NA,7,8,NA,0,0,9
32,KUL,c.dissimilar,1,1,2,3,9,8,8,2,525,0,0,9
33,KUL,c.dissimilar,0,0,1,NA,NA,NA,10,7,NA,1,0,9
35,KUL,c.dissimilar,1,0,1,NA,NA,NA,2,6,NA,0,0,9
36,KUL,c.dissimilar,0,0,3,NA,NA,NA,6,6,NA,1,0,9
37,KUL,c.dissimilar,1,1,0,1,6,2,7,6,549,0,0,9
38,KUL,c.dissimilar,0,1,4,5,10,10,5,7,526,1,0,9
39,KUL,c.dissimilar,0,1,4,4,10,10,8,9,533,1,0,9
40,KUL,c.dissimilar,1,0,1,NA,NA,NA,3,7,NA,0,0,9
41,KUL,c.dissimilar,0,0,0,NA,NA,NA,9,5,NA,1,0,9
42,KUL,c.dissimilar,1,1,2,4,8,7,7,8,501,0,0,9
43,KUL,c.dissimilar,1,1,1,4,7,6,10,6,534,0,0,9
44,KUL,c.dissimilar,0,1,3,1,8,7,8,10,520,1,0,9
45,KUL,c.dissimilar,0,0,0,NA,NA,NA,2,4,NA,1,0,9
46,KUL,c.dissimilar,1,0,1,NA,NA,NA,10,7,NA,0,0,9
47,KUL,c.dissimilar,0,0,2,NA,NA,NA,5,7,NA,1,0,9
48,KUL,c.dissimilar,0,1,2,3,3,2,9,9,531,1,0,9
49,KUL,c.dissimilar,1,0,3,NA,NA,NA,7,5,NA,0,0,9
50,KUL,c.dissimilar,1,1,1,2,9,3,6,6,528,0,0,9
51,KUL,c.dissimilar,1,0,3,NA,NA,NA,6,8,NA,0,0,9
52,KUL,c.dissimilar,0,0,2,NA,NA,NA,8,7,NA,1,0,9
53,KUL,c.dissimilar,1,1,2,5,9,8,3,2,537,0,0,9
54,KUL,c.dissimilar,0,1,2,4,8,5,7,6,531,1,0,9
55,KUL,c.dissimilar,1,0,0,NA,NA,NA,2,7,NA,0,0,9
