id,.site.name,.group,had.read,load,lkl,eff.split,count.eff,count.hard,badness,importance,end.num,tempt,excluded,n.excl
3,PUC,c.dissimilar,0,0,6,NA,NA,NA,9,9,NA,1,0,13
4,PUC,c.dissimilar,1,0,4,NA,NA,NA,6,6,NA,0,0,13
5,PUC,c.dissimilar,1,1,2,3,4,4,6,5,555,0,0,13
6,PUC,c.dissimilar,0,1,5,2,6,5,5,5,537,1,0,13
7,PUC,c.dissimilar,0,0,2,NA,NA,NA,9,7,NA,1,0,13
8,PUC,c.dissimilar,0,1,5,5,9,9,9,8,519,1,0,13
9,PUC,c.dissimilar,1,0,5,NA,NA,NA,7,8,NA,0,0,13
10,PUC,c.dissimilar,0,1,7,5,8,7,3,6,534,1,0,13
11,PUC,c.dissimilar,1,0,3,NA,NA,NA,8,6,NA,0,0,13
12,PUC,c.dissimilar,0,0,4,NA,NA,NA,5,5,NA,1,0,13
15,PUC,c.dissimilar,1,1,2,NA,NA,NA,NA,NA,NA,0,0,13
16,PUC,c.dissimilar,1,0,5,NA,NA,NA,8,9,NA,0,0,13
17,PUC,c.dissimilar,1,1,2,1,7,8,6,8,549,0,0,13
18,PUC,c.dissimilar,0,0,2,NA,NA,NA,6,3,NA,1,0,13
19,PUC,c.dissimilar,1,0,2,NA,NA,NA,1,7,NA,0,0,13
20,PUC,c.dissimilar,0,1,3,2,6,5,1,3,549,1,0,13
21,PUC,c.dissimilar,0,0,1,NA,NA,NA,6,7,NA,1,0,13
22,PUC,c.dissimilar,1,1,3,4,8,7,8,5,552,0,0,13
23,PUC,c.dissimilar,1,0,2,NA,NA,NA,5,8,NA,0,0,13
24,PUC,c.dissimilar,1,1,3,6,10,9,8,8,552,0,0,13
26,PUC,c.dissimilar,0,0,2,NA,NA,NA,5,10,NA,1,0,13
27,PUC,c.dissimilar,0,0,6,NA,NA,NA,7,4,NA,1,0,13
28,PUC,c.dissimilar,1,1,1,2,7,7,7,6,504,0,0,13
29,PUC,c.dissimilar,0,1,5,5,6,4,0,4,558,1,0,13
30,PUC,c.dissimilar,1,0,1,NA,NA,NA,9,5,NA,0,0,13
31,PUC,c.dissimilar,0,0,2,NA,NA,NA,10,1,NA,1,0,13
32,PUC,c.dissimilar,1,0,4,NA,NA,NA,3,9,NA,0,0,13
33,PUC,c.dissimilar,0,0,4,NA,NA,NA,8,8,NA,1,0,13
36,PUC,c.dissimilar,1,0,3,NA,NA,NA,3,10,NA,0,0,13
37,PUC,c.dissimilar,0,0,5,NA,NA,NA,8,8,NA,1,0,13
38,PUC,c.dissimilar,0,1,5,2,10,9,8,8,549,1,0,13
39,PUC,c.dissimilar,1,1,5,4,8,4,10,9,501,0,0,13
40,PUC,c.dissimilar,1,1,7,4,2,2,8,8,7,0,0,13
42,PUC,c.dissimilar,1,0,2,NA,NA,NA,10,9,NA,0,0,13
43,PUC,c.dissimilar,0,0,7,NA,NA,NA,9,6,NA,1,0,13
44,PUC,c.dissimilar,1,1,5,2,6,6,9,5,555,0,0,13
45,PUC,c.dissimilar,1,0,2,NA,NA,NA,8,6,NA,0,0,13
46,PUC,c.dissimilar,1,0,5,NA,NA,NA,7,7,NA,0,0,13
47,PUC,c.dissimilar,0,0,2,NA,NA,NA,9,5,NA,1,0,13
48,PUC,c.dissimilar,0,1,2,3,7,8,5,7,555,1,0,13
49,PUC,c.dissimilar,0,0,2,NA,NA,NA,6,0,NA,1,0,13
50,PUC,c.dissimilar,1,1,6,1,7,8,8,7,549,0,0,13
51,PUC,c.dissimilar,0,1,5,5,7,7,8,6,545,1,0,13
53,PUC,c.dissimilar,1,0,5,NA,NA,NA,9,2,NA,0,0,13
55,PUC,c.dissimilar,0,0,4,NA,NA,NA,9,7,NA,1,0,13
56,PUC,c.dissimilar,1,1,5,2,8,8,8,7,552,0,0,13
57,PUC,c.dissimilar,1,0,7,NA,NA,NA,9,9,NA,0,0,13
59,PUC,c.dissimilar,0,0,1,NA,NA,NA,10,6,NA,1,0,13
