id,.site.name,.group,had.read,load,lkl,eff.split,count.eff,count.hard,badness,importance,end.num,tempt,excluded,n.excl
1,Stanford,b.similar,0,0,1,NA,NA,NA,10,2,NA,1,0,1
2,Stanford,b.similar,1,1,5,4,6,4,7,7,537,0,0,1
3,Stanford,b.similar,0,0,7,NA,NA,NA,9,10,NA,1,0,1
4,Stanford,b.similar,1,0,1,NA,NA,NA,8,4,NA,0,0,1
5,Stanford,b.similar,0,0,3,NA,NA,NA,7,7,NA,1,0,1
6,Stanford,b.similar,0,1,2,4,3,1,6,3,525,1,0,1
7,Stanford,b.similar,1,1,3,4,10,8,5,6,530,0,0,1
8,Stanford,b.similar,1,0,0,NA,NA,NA,6,1,NA,0,0,1
9,Stanford,b.similar,0,0,2,NA,NA,NA,3,5,NA,1,0,1
11,Stanford,b.similar,0,1,1,1,8,9,9,10,552,1,0,1
12,Stanford,b.similar,0,0,1,NA,NA,NA,9,7,NA,1,0,1
13,Stanford,b.similar,1,0,2,NA,NA,NA,9,10,NA,0,0,1
14,Stanford,b.similar,0,1,5,4,7,5,9,6,525,1,0,1
15,Stanford,b.similar,0,0,3,NA,NA,NA,9,8,NA,1,0,1
16,Stanford,b.similar,1,0,6,NA,NA,NA,8,9,NA,0,0,1
17,Stanford,b.similar,1,1,5,4,8,7,8,9,534,0,0,1
19,Stanford,b.similar,1,0,3,NA,NA,NA,9,7,NA,0,0,1
20,Stanford,b.similar,0,0,1,NA,NA,NA,6,8,NA,1,0,1
22,Stanford,b.similar,0,1,10,NA,NA,NA,NA,NA,NA,1,0,1
23,Stanford,b.similar,0,1,3,4,9,8,10,6,555,1,0,1
24,Stanford,b.similar,0,0,4,NA,NA,NA,10,0,NA,1,0,1
25,Stanford,b.similar,1,0,2,NA,NA,NA,4,8,NA,0,0,1
26,Stanford,b.similar,1,1,1,5,9,9,7,8,552,0,0,1
27,Stanford,b.similar,1,1,2,4,6,6,8,4,523,0,0,1
28,Stanford,b.similar,0,0,2,NA,NA,NA,6,7,NA,1,0,1
29,Stanford,b.similar,1,0,1,NA,NA,NA,7,5,NA,0,0,1
30,Stanford,b.similar,0,1,2,4,8,9,7,5,528,1,0,1
32,Stanford,b.similar,0,0,4,NA,NA,NA,6,8,NA,1,0,1
33,Stanford,b.similar,1,0,1,NA,NA,NA,9,7,NA,0,0,1
34,Stanford,b.similar,1,1,2,5,7,7,8,4,504,0,0,1
35,Stanford,b.similar,1,0,2,NA,NA,NA,8,6,NA,0,0,1
36,Stanford,b.similar,0,1,1,3,7,8,8,8,543,1,0,1
39,Stanford,b.similar,0,0,1,NA,NA,NA,9,7,NA,1,0,1
40,Stanford,b.similar,1,0,2,NA,NA,NA,8,6,NA,0,0,1
41,Stanford,b.similar,0,0,0,NA,NA,NA,3,4,NA,1,0,1
42,Stanford,b.similar,0,1,6,3,8,8,10,8,486,1,0,1
43,Stanford,b.similar,1,1,2,1,6,7,5,1,474,0,0,1
44,Stanford,b.similar,0,0,2,NA,NA,NA,8,6,NA,1,0,1
45,Stanford,b.similar,0,1,2,5,6,7,9,4,543,1,0,1
46,Stanford,b.similar,1,0,1,NA,NA,NA,6,7,NA,0,0,1
47,Stanford,b.similar,1,1,8,6,10,9,10,10,552,0,0,1
48,Stanford,b.similar,0,1,1,2,4,3,6,6,507,1,0,1
49,Stanford,b.similar,1,1,2,4,6,5,3,3,519,0,0,1
50,Stanford,b.similar,0,0,0,NA,NA,NA,4,6,NA,1,0,1
51,Stanford,b.similar,1,0,2,NA,NA,NA,8,6,NA,0,0,1
52,Stanford,b.similar,1,0,5,NA,NA,NA,7,8,NA,0,0,1
53,Stanford,b.similar,0,1,5,4,2,2,8,7,540,1,0,1
54,Stanford,b.similar,1,1,0,4,6,4,7,8,507,0,0,1
55,Stanford,b.similar,0,0,1,NA,NA,NA,7,6,NA,1,0,1
56,Stanford,b.similar,1,0,1,NA,NA,NA,7,7,NA,0,0,1
57,Stanford,b.similar,0,0,5,NA,NA,NA,8,8,NA,1,0,1
58,Stanford,b.similar,0,1,4,5,9,7,3,2,543,1,0,1
59,Stanford,b.similar,1,1,0,5,8,8,7,7,532,0,0,1
60,Stanford,b.similar,0,0,4,NA,NA,NA,8,9,NA,1,0,1
61,Stanford,b.similar,0,1,1,4,7,6,8,5,534,1,0,1
62,Stanford,b.similar,1,1,3,6,9,7,10,10,543,0,0,1
63,Stanford,b.similar,1,0,1,NA,NA,NA,6,4,NA,0,0,1
64,Stanford,b.similar,0,1,0,4,6,7,7,3,429,1,0,1
65,Stanford,b.similar,1,1,2,4,7,7,1,5,555,0,0,1
66,Stanford,b.similar,0,0,3,NA,NA,NA,7,6,NA,1,0,1
67,Stanford,b.similar,1,0,1,NA,NA,NA,8,8,NA,0,0,1
68,Stanford,b.similar,0,1,4,5,7,5,8,6,537,1,0,1
69,Stanford,b.similar,1,1,2,2,10,9,9,2,522,0,0,1
70,Stanford,b.similar,1,0,1,NA,NA,NA,6,4,NA,0,0,1
71,Stanford,b.similar,0,0,4,NA,NA,NA,10,9,NA,1,0,1
72,Stanford,b.similar,0,0,2,NA,NA,NA,3,6,NA,1,0,1
73,Stanford,b.similar,1,0,1,NA,NA,NA,5,8,NA,0,0,1
74,Stanford,b.similar,1,1,3,4,7,5,8,9,512,0,0,1
