id,.site.name,.group,had.read,load,lkl,eff.split,count.eff,count.hard,badness,importance,end.num,tempt,excluded,n.excl
1,UCB,b.similar,1,1,1,4,NA,NA,NA,NA,549,0,0,23
2,UCB,b.similar,0,1,7,1,NA,NA,NA,NA,4,1,0,23
3,UCB,b.similar,0,1,3,5,NA,NA,NA,NA,551,1,0,23
4,UCB,b.similar,1,0,2,NA,NA,NA,NA,NA,NA,0,0,23
5,UCB,b.similar,1,0,6,NA,NA,NA,NA,NA,NA,0,0,23
6,UCB,b.similar,1,0,1,NA,NA,NA,NA,NA,NA,0,0,23
7,UCB,b.similar,0,0,2,NA,NA,NA,NA,NA,NA,1,0,23
8,UCB,b.similar,1,1,7,2,NA,NA,NA,NA,7,0,0,23
9,UCB,b.similar,1,1,5,2,NA,NA,NA,NA,546,0,0,23
10,UCB,b.similar,0,1,1,2,NA,NA,NA,NA,543,1,0,23
11,UCB,b.similar,1,1,4,2,NA,NA,NA,NA,554,0,0,23
13,UCB,b.similar,0,1,3,3,NA,NA,NA,NA,528,1,0,23
14,UCB,b.similar,0,0,3,NA,NA,NA,NA,NA,NA,1,0,23
15,UCB,b.similar,1,1,6,1,NA,NA,NA,NA,542,0,0,23
16,UCB,b.similar,0,0,4,NA,NA,NA,NA,NA,NA,1,0,23
17,UCB,b.similar,1,0,0,NA,NA,NA,NA,NA,NA,0,0,23
18,UCB,b.similar,1,1,1,4,NA,NA,NA,NA,546,0,0,23
19,UCB,b.similar,0,0,1,NA,NA,NA,NA,NA,NA,1,0,23
20,UCB,b.similar,1,1,7,5,NA,NA,NA,NA,549,0,0,23
21,UCB,b.similar,0,1,3,2,NA,NA,NA,NA,552,1,0,23
22,UCB,b.similar,1,0,1,NA,NA,NA,NA,NA,NA,0,0,23
23,UCB,b.similar,1,1,1,4,NA,NA,NA,NA,519,0,0,23
24,UCB,b.similar,0,1,5,4,NA,NA,NA,NA,474,1,0,23
25,UCB,b.similar,0,1,7,2,NA,NA,NA,NA,500,1,0,23
26,UCB,b.similar,0,1,2,5,NA,NA,NA,NA,523,1,0,23
28,UCB,b.similar,1,0,3,NA,NA,NA,NA,NA,NA,0,0,23
29,UCB,b.similar,0,0,5,NA,NA,NA,NA,NA,NA,1,0,23
30,UCB,b.similar,0,0,2,NA,NA,NA,NA,NA,NA,1,0,23
31,UCB,b.similar,0,0,1,NA,NA,NA,NA,NA,NA,1,0,23
