id,.site.name,.group,had.read,load,lkl,eff.split,count.eff,count.hard,badness,importance,end.num,tempt,excluded,n.excl
3,UP,c.dissimilar,0,0,6,NA,NA,NA,9,9,NA,1,0,13
4,UP,c.dissimilar,1,0,4,NA,NA,NA,6,6,NA,0,0,13
5,UP,c.dissimilar,1,1,2,3,4,4,6,5,555,0,0,13
6,UP,c.dissimilar,0,1,5,2,6,5,5,5,537,1,0,13
7,UP,c.dissimilar,0,0,2,NA,NA,NA,9,7,NA,1,0,13
8,UP,c.dissimilar,0,1,5,5,9,9,9,8,519,1,0,13
9,UP,c.dissimilar,1,0,5,NA,NA,NA,7,8,NA,0,0,13
10,UP,c.dissimilar,0,1,7,5,8,7,3,6,534,1,0,13
11,UP,c.dissimilar,1,0,3,NA,NA,NA,8,6,NA,0,0,13
12,UP,c.dissimilar,0,0,4,NA,NA,NA,5,5,NA,1,0,13
15,UP,c.dissimilar,1,1,2,NA,NA,NA,NA,NA,NA,0,0,13
16,UP,c.dissimilar,1,0,5,NA,NA,NA,8,9,NA,0,0,13
17,UP,c.dissimilar,1,1,2,1,7,8,6,8,549,0,0,13
18,UP,c.dissimilar,0,0,2,NA,NA,NA,6,3,NA,1,0,13
19,UP,c.dissimilar,1,0,2,NA,NA,NA,1,7,NA,0,0,13
20,UP,c.dissimilar,0,1,3,2,6,5,1,3,549,1,0,13
21,UP,c.dissimilar,0,0,1,NA,NA,NA,6,7,NA,1,0,13
22,UP,c.dissimilar,1,1,3,4,8,7,8,5,552,0,0,13
23,UP,c.dissimilar,1,0,2,NA,NA,NA,5,8,NA,0,0,13
24,UP,c.dissimilar,1,1,3,6,10,9,8,8,552,0,0,13
26,UP,c.dissimilar,0,0,2,NA,NA,NA,5,10,NA,1,0,13
27,UP,c.dissimilar,0,0,6,NA,NA,NA,7,4,NA,1,0,13
28,UP,c.dissimilar,1,1,1,2,7,7,7,6,504,0,0,13
29,UP,c.dissimilar,0,1,5,5,6,4,0,4,558,1,0,13
30,UP,c.dissimilar,1,0,1,NA,NA,NA,9,5,NA,0,0,13
31,UP,c.dissimilar,0,0,2,NA,NA,NA,10,1,NA,1,0,13
32,UP,c.dissimilar,1,0,4,NA,NA,NA,3,9,NA,0,0,13
33,UP,c.dissimilar,0,0,4,NA,NA,NA,8,8,NA,1,0,13
36,UP,c.dissimilar,1,0,3,NA,NA,NA,3,10,NA,0,0,13
37,UP,c.dissimilar,0,0,5,NA,NA,NA,8,8,NA,1,0,13
38,UP,c.dissimilar,0,1,5,2,10,9,8,8,549,1,0,13
39,UP,c.dissimilar,1,1,5,4,8,4,10,9,501,0,0,13
40,UP,c.dissimilar,1,1,7,4,2,2,8,8,7,0,0,13
42,UP,c.dissimilar,1,0,2,NA,NA,NA,10,9,NA,0,0,13
43,UP,c.dissimilar,0,0,7,NA,NA,NA,9,6,NA,1,0,13
44,UP,c.dissimilar,1,1,5,2,6,6,9,5,555,0,0,13
45,UP,c.dissimilar,1,0,2,NA,NA,NA,8,6,NA,0,0,13
46,UP,c.dissimilar,1,0,5,NA,NA,NA,7,7,NA,0,0,13
47,UP,c.dissimilar,0,0,2,NA,NA,NA,9,5,NA,1,0,13
48,UP,c.dissimilar,0,1,2,3,7,8,5,7,555,1,0,13
49,UP,c.dissimilar,0,0,2,NA,NA,NA,6,0,NA,1,0,13
50,UP,c.dissimilar,1,1,6,1,7,8,8,7,549,0,0,13
51,UP,c.dissimilar,0,1,5,5,7,7,8,6,545,1,0,13
53,UP,c.dissimilar,1,0,5,NA,NA,NA,9,2,NA,0,0,13
55,UP,c.dissimilar,0,0,4,NA,NA,NA,9,7,NA,1,0,13
56,UP,c.dissimilar,1,1,5,2,8,8,8,7,552,0,0,13
57,UP,c.dissimilar,1,0,7,NA,NA,NA,9,9,NA,0,0,13
59,UP,c.dissimilar,0,0,1,NA,NA,NA,10,6,NA,1,0,13
60,UP,c.dissimilar,1,0,1,NA,NA,NA,2,8,NA,0,0,13
61,UP,c.dissimilar,0,0,7,NA,NA,NA,1,9,NA,1,0,13
62,UP,c.dissimilar,1,1,6,3,7,7,9,7,546,0,0,13
63,UP,c.dissimilar,0,1,4,5,8,8,7,5,558,1,0,13
64,UP,c.dissimilar,1,0,2,NA,NA,NA,6,7,NA,0,0,13
65,UP,c.dissimilar,0,1,5,1,9,9,7,7,521,1,0,13
66,UP,c.dissimilar,1,1,3,4,8,8,7,7,541,0,0,13
67,UP,c.dissimilar,0,0,3,NA,NA,NA,6,2,NA,1,0,13
68,UP,c.dissimilar,1,1,5,4,7,8,8,7,552,0,0,13
70,UP,c.dissimilar,1,0,3,NA,NA,NA,8,8,NA,0,0,13
71,UP,c.dissimilar,1,0,5,NA,NA,NA,7,9,NA,0,0,13
72,UP,c.dissimilar,0,1,4,1,7,7,8,8,200,1,0,13
73,UP,c.dissimilar,0,0,3,NA,NA,NA,9,8,NA,1,0,13
74,UP,c.dissimilar,0,0,5,NA,NA,NA,10,8,NA,1,0,13
75,UP,c.dissimilar,1,1,8,3,9,9,8,6,527,0,0,13
76,UP,c.dissimilar,0,1,5,1,8,8,7,6,504,1,0,13
77,UP,c.dissimilar,1,1,5,6,10,9,8,10,519,0,0,13
78,UP,c.dissimilar,1,0,2,NA,NA,NA,6,5,NA,0,0,13
79,UP,c.dissimilar,0,0,10,NA,NA,NA,2,6,NA,1,0,13
80,UP,c.dissimilar,1,1,5,1,8,7,6,3,546,0,0,13
81,UP,c.dissimilar,1,0,6,NA,NA,NA,4,5,NA,0,0,13
82,UP,c.dissimilar,1,0,4,NA,NA,NA,9,5,NA,0,0,13
83,UP,c.dissimilar,0,1,3,1,8,5,6,6,558,1,0,13
84,UP,c.dissimilar,0,0,5,NA,NA,NA,7,8,NA,1,0,13
86,UP,c.dissimilar,0,0,1,NA,NA,NA,7,3,NA,1,0,13
87,UP,c.dissimilar,1,1,6,1,7,7,6,8,548,0,0,13
88,UP,c.dissimilar,1,0,8,NA,NA,NA,8,10,NA,0,0,13
90,UP,c.dissimilar,0,1,6,6,9,9,6,7,559,1,0,13
91,UP,c.dissimilar,0,1,5,2,5,6,9,8,555,1,0,13
92,UP,c.dissimilar,0,0,4,NA,NA,NA,9,9,NA,1,0,13
93,UP,c.dissimilar,1,0,4,NA,NA,NA,10,4,NA,0,0,13
94,UP,c.dissimilar,1,1,9,5,10,8,6,5,540,0,0,13
95,UP,c.dissimilar,1,0,7,NA,NA,NA,8,5,NA,0,0,13
96,UP,c.dissimilar,0,0,5,NA,NA,NA,6,6,NA,1,0,13
97,UP,c.dissimilar,0,1,9,1,10,10,10,0,558,1,0,13
98,UP,c.dissimilar,1,0,5,NA,NA,NA,3,5,NA,0,0,13
99,UP,c.dissimilar,0,0,3,NA,NA,NA,9,6,NA,1,0,13
100,UP,c.dissimilar,1,1,5,6,10,10,4,7,546,0,0,13
101,UP,c.dissimilar,1,0,1,NA,NA,NA,7,4,NA,0,0,13
103,UP,c.dissimilar,0,0,2,NA,NA,NA,5,9,NA,1,0,13
104,UP,c.dissimilar,1,1,1,4,3,3,9,8,497,0,0,13
105,UP,c.dissimilar,0,1,0,2,10,10,6,5,557,1,0,13
106,UP,c.dissimilar,1,1,6,NA,NA,NA,NA,NA,NA,0,0,13
