id,.site.name,.group,had.read,load,lkl,eff.split,count.eff,count.hard,badness,importance,end.num,tempt,excluded,n.excl
1,URI,c.dissimilar,0,1,2,4,9,9,6,8,534,1,0,9
3,URI,c.dissimilar,1,0,1,NA,NA,NA,9,10,NA,0,0,9
4,URI,c.dissimilar,1,1,5,2,2,3,6,5,534,0,0,9
5,URI,c.dissimilar,1,0,1,NA,NA,NA,9,7,NA,0,0,9
6,URI,c.dissimilar,0,1,4,3,7,9,8,7,443,1,0,9
7,URI,c.dissimilar,0,0,1,NA,NA,NA,4,1,NA,1,0,9
8,URI,c.dissimilar,0,0,3,NA,NA,NA,9,7,NA,1,0,9
10,URI,c.dissimilar,0,1,5,3,2,4,6,8,530,1,0,9
11,URI,c.dissimilar,1,1,3,1,9,9,8,6,536,0,0,9
12,URI,c.dissimilar,1,0,3,NA,NA,NA,10,9,NA,0,0,9
13,URI,c.dissimilar,1,0,4,NA,NA,NA,8,4,NA,0,0,9
15,URI,c.dissimilar,0,0,3,NA,NA,NA,8,9,NA,1,0,9
16,URI,c.dissimilar,0,0,2,NA,NA,NA,6,7,NA,1,0,9
18,URI,c.dissimilar,0,1,1,1,6,4,10,9,532,1,0,9
19,URI,c.dissimilar,0,0,5,NA,NA,NA,8,8,NA,1,0,9
20,URI,c.dissimilar,1,0,2,NA,NA,NA,8,9,NA,0,0,9
21,URI,c.dissimilar,1,1,0,2,8,9,8,10,542,0,0,9
22,URI,c.dissimilar,1,0,5,NA,NA,NA,9,9,NA,0,0,9
23,URI,c.dissimilar,1,1,3,5,8,8,7,3,525,0,0,9
24,URI,c.dissimilar,0,1,1,1,4,6,8,8,298,1,0,9
25,URI,c.dissimilar,0,0,2,NA,NA,NA,6,8,NA,1,0,9
26,URI,c.dissimilar,0,0,5,NA,NA,NA,8,10,NA,1,0,9
27,URI,c.dissimilar,1,1,5,5,10,10,10,10,540,0,0,9
28,URI,c.dissimilar,1,0,3,NA,NA,NA,3,8,NA,0,0,9
29,URI,c.dissimilar,1,0,3,NA,NA,NA,10,10,NA,0,0,9
30,URI,c.dissimilar,0,1,5,3,0,NA,10,9,2,1,0,9
31,URI,c.dissimilar,1,0,5,NA,NA,NA,7,8,NA,0,0,9
