id,.site.name,.group,had.read,load,lkl,eff.split,count.eff,count.hard,badness,importance,end.num,tempt,excluded,n.excl
1,UVA,b.similar,1,0,1,NA,NA,NA,6,6,NA,0,0,5
2,UVA,b.similar,0,1,4,2,8,8,7,8,558,1,0,5
3,UVA,b.similar,1,0,0,NA,NA,NA,8,2,NA,0,0,5
4,UVA,b.similar,0,0,5,NA,NA,NA,6,7,NA,1,0,5
5,UVA,b.similar,0,1,6,2,8,7,10,6,549,1,0,5
6,UVA,b.similar,1,1,1,5,9,8,7,8,528,0,0,5
7,UVA,b.similar,1,0,2,NA,NA,NA,7,6,NA,0,0,5
8,UVA,b.similar,0,0,6,NA,NA,NA,10,8,NA,1,0,5
9,UVA,b.similar,1,1,2,3,8,6,10,5,527,0,0,5
10,UVA,b.similar,0,0,2,NA,NA,NA,10,9,NA,1,0,5
11,UVA,b.similar,0,1,3,4,9,9,9,7,546,1,0,5
12,UVA,b.similar,1,1,5,4,8,7,9,7,529,0,0,5
13,UVA,b.similar,1,0,1,NA,NA,NA,9,8,NA,0,0,5
14,UVA,b.similar,0,1,6,3,7,6,6,5,498,1,0,5
15,UVA,b.similar,0,0,2,NA,NA,NA,3,1,NA,1,0,5
16,UVA,b.similar,0,1,5,1,7,6,8,9,9,1,0,5
17,UVA,b.similar,1,1,1,2,7,7,8,7,539,0,0,5
18,UVA,b.similar,1,0,1,NA,NA,NA,1,7,NA,0,0,5
19,UVA,b.similar,0,0,5,NA,NA,NA,7,4,NA,1,0,5
20,UVA,b.similar,1,0,2,NA,NA,NA,9,8,NA,0,0,5
22,UVA,b.similar,1,1,6,4,7,6,7,8,534,0,0,5
23,UVA,b.similar,0,0,1,NA,NA,NA,10,4,NA,1,0,5
24,UVA,b.similar,1,0,4,NA,NA,NA,8,7,NA,0,0,5
25,UVA,b.similar,1,1,3,2,7,6,8,7,542,0,0,5
26,UVA,b.similar,0,1,2,2,8,7,5,8,474,1,0,5
27,UVA,b.similar,0,0,1,NA,NA,NA,5,4,NA,1,0,5
