"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","Q12","lkl1","imp1","bad1","lkl2","endnum1","eff.split1","count.hard1","count.eff1","imp2","bad2","lkl3","endnum2","eff.split2","count.hard2","count.eff2","imp3","bad3","lkl4","imp4","bad4","Q6...Topics","had.read","end.num","load","eff.split","badness","importance","count.eff","count.hard"
"3","11/14/16 15:13","11/14/16 15:19","IP Address","157.201.111.206","100","386","TRUE","11/14/16 15:19","R_sHJajEd4MZcPaHT","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","6","549","2","5","5","8","9","","","","",0,549,1,2,9,8,5,5
"4","11/14/16 15:15","11/14/16 15:20","IP Address","157.201.106.185","100","254","TRUE","11/14/16 15:20","R_2AEVSQaKD6anU0E","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","3","2","4","",1,NA,0,NA,4,2,NA,NA
"5","11/14/16 15:20","11/14/16 15:23","IP Address","157.201.111.206","100","184","TRUE","11/14/16 15:23","R_3Oe0MBYNLfjUFeo","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","6","4","4","","","","","","","","","","","","","","","","","","",0,NA,0,NA,4,4,NA,NA
"6","11/14/16 15:25","11/14/16 15:57","IP Address","157.201.111.206","100","1938","TRUE","11/14/16 15:57","R_AtbegWczRJwhcTT","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","1","8","5","",1,NA,0,NA,5,8,NA,NA
"7","11/14/16 15:24","11/14/16 16:09","IP Address","157.201.106.185","100","2654","TRUE","11/14/16 16:09","R_1BXEAHOuHLN8s76","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","1","548","1","10","10","10","10","","","","","","","","","","","",1,548,1,1,10,10,10,10
"8","11/14/16 16:09","11/14/16 16:20","IP Address","157.201.106.185","100","611","TRUE","11/14/16 16:20","R_28Aj1VuWe00JTRL","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","1","552","1","8","9","8","4","","","","",0,552,1,1,4,8,9,8
"9","11/14/16 15:58","11/14/16 16:20","IP Address","157.201.111.206","100","1299","TRUE","11/14/16 16:20","R_3HIeFZuiZgw6tWu","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","0","3","4","","","","","","","","","","","","","","","","","","",0,NA,0,NA,4,3,NA,NA
"10","11/14/16 16:21","11/14/16 16:27","IP Address","157.201.111.206","100","379","TRUE","11/14/16 16:27","R_1F8HaeMFVHqZ4Uf","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","3","7","7","",1,NA,0,NA,7,7,NA,NA
"11","11/14/16 16:20","11/14/16 16:28","IP Address","157.201.106.185","100","431","TRUE","11/14/16 16:28","R_3nTaOiYq2D38sJa","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","1","3","3","","","","","","","","","","","","","","","","","","",0,NA,0,NA,3,3,NA,NA
"12","11/14/16 16:28","11/14/16 16:39","IP Address","157.201.106.185","100","654","TRUE","11/14/16 16:39","R_yDRB5NaOcP8NSwx","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","3","531","2","10","7","9","9","","","","",0,531,1,2,9,9,7,10
"13","11/14/16 16:28","11/14/16 16:40","IP Address","157.201.111.206","100","740","TRUE","11/14/16 16:40","R_2ClbRNtMHxW85GQ","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","1","581","2","7","5","10","5","","","","","","","","","","","",1,581,1,2,5,10,5,7
"14","11/14/16 16:41","11/14/16 16:49","IP Address","157.201.111.206","100","475","TRUE","11/14/16 16:49","R_3eqobra0S6C0kHT","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","1","560","1","9","8","8","10","","","","","","","","","","","",1,560,1,1,10,8,8,9
"15","11/14/16 16:40","11/14/16 16:49","IP Address","157.201.106.185","100","553","TRUE","11/14/16 16:49","R_1mVEQdnUFvyGvpS","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","3","7","8","",1,NA,0,NA,8,7,NA,NA
"16","11/14/16 16:50","11/14/16 16:57","IP Address","157.201.106.185","100","448","TRUE","11/14/16 16:57","R_1ibuZPUbgXv31P6","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","1","3","3","","","","","","","","","","","","","","","","","","",0,NA,0,NA,3,3,NA,NA
"17","11/14/16 16:50","11/14/16 17:00","IP Address","157.201.111.206","100","596","TRUE","11/14/16 17:00","R_3PzUvlk7DoF9c4f","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","3","547","3","6","4","9","10","","","","",0,547,1,3,10,9,4,6
"18","11/14/16 17:22","11/14/16 17:32","IP Address","157.201.120.23","100","601","TRUE","11/14/16 17:32","R_1OZdW4Qg0KkrfAi","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","1","6","4","",1,NA,0,NA,4,6,NA,NA
"19","11/14/16 17:30","11/14/16 17:44","IP Address","157.201.98.111","100","873","TRUE","11/14/16 17:44","R_1gI78PTUmlSNyVZ","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","1","561","1","10","10","3","4","","","","",0,561,1,1,4,3,10,10
"20","11/14/16 17:33","11/14/16 17:45","IP Address","157.201.120.23","100","681","TRUE","11/14/16 17:45","R_1K0TMWSWiCVIe96","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","4","6","5","","","","","","","","","","","","","","","","","","",0,NA,0,NA,5,6,NA,NA
"21","11/14/16 17:45","11/14/16 17:57","IP Address","157.201.98.111","100","711","TRUE","11/14/16 17:57","R_2aPsDMltvxHdpQW","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","5","561","1","8","10","7","9","","","","","","","","","","","",1,561,1,1,9,7,10,8
"22","11/14/16 17:46","11/14/16 18:11","IP Address","157.201.120.23","100","1515","TRUE","11/14/16 18:11","R_2Sdy930271AUamY","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","3","528","3","7","7","5","6","","","","",0,528,1,3,6,5,7,7
"23","11/14/16 17:58","11/14/16 18:20","IP Address","157.201.98.111","100","1312","TRUE","11/14/16 18:20","R_1fl5GTzyt3R2YxZ","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","4","8","5","","","","","","","","","","","","","","","","","","",0,NA,0,NA,5,8,NA,NA
"24","11/14/16 18:12","11/14/16 18:27","IP Address","157.201.120.23","100","889","TRUE","11/14/16 18:27","R_1ffI345rLjuTEph","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","7","492","5","2","8","7","6","","","","","","","","","","","",1,492,1,5,6,7,8,2
"25","11/14/16 18:25","11/14/16 18:31","IP Address","157.201.98.111","100","345","TRUE","11/14/16 18:31","R_2eb42INX1yokaal","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","1","10","5","",1,NA,0,NA,5,10,NA,NA
"26","11/15/16 15:12","11/15/16 15:18","IP Address","157.201.100.154","100","327","TRUE","11/15/16 15:18","R_BSnUiQYlhB4yKKB","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","5","558","5","9","9","2","5","","","","",0,558,1,5,5,2,9,9
"27","11/15/16 15:14","11/15/16 15:22","IP Address","157.201.123.126","100","482","TRUE","11/15/16 15:22","R_zeDIjI5QS4BuhDX","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","","","","","","","","","","","","","","","1","10","7","",1,NA,0,NA,7,10,NA,NA
"28","11/15/16 15:19","11/15/16 15:25","IP Address","157.201.100.154","100","347","TRUE","11/15/16 15:25","R_RsPr30tFZTFU8XT","","","","","43.77609253","-111.6910019","anonymous","I agree to participate in the research","","","","1","531","4","7","9","6","8","","","","","","","","","","","",1,531,1,4,8,6,9,7
