V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,load,had.read,text,L1.R1.scenario_1,L1.R0.scenario_1,Q28,Q29_1,Q21_1,Q22_1,L0.R1.text_1,L0.R0.text_1,Q26_1,Q14_1,text.thanks,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,load,had.read,Lees aandachtig de volgende instructies.  In deze korte studie zal je gevraagd worden om tegelijk...,Start met het nummer:      564   Lees het volgende scenario terwijl je terugtelt. Beeld je in dat...-&nbsp;,Start met het nummer:      564   Lees het volgende scenario terwijl je terugtelt.   Beeld je in d...-&nbsp;,STOP MET TELLEN! Op welk nummer ben je geëindigd?,Het is vaak heel moeilijk om twee taken tegelijkertijd uit te voeren. Geef aan hoeveel moeite je...-&nbsp;,Hoe moeilijk was de tel taak?-&nbsp;,Hoeveel moeite kostte de tel taak?-&nbsp;,Lees aandachtig het volgende scenario. Beeld je in dat je in een groot hoorcollege zit met een pa...-&nbsp;,Lees aandachtig het volgende scenario.   Beeld je in dat je in een groot hoorcollege zit met een...-&nbsp;,"Als je een student zou zijn in het college waarover je net gelezen hebt, hoe belangrijk zou het v...-&nbsp;","Als je een student zou zijn in het college, hoe slecht zou jij je voelen als je werd aangeduid do...-&nbsp;",Bedankt voor je deelname! Klik nog éénmaal op de verdergaan knop .  ,LocationLatitude,LocationLongitude,LocationAccuracy
R_1FPzjjMqHZwdcbk,Default Response Set,Anonymous,,,134.58.253.57,0,2/14/17 10:06,2/14/17 10:07,1,0,1,,,,,,,,2,,5,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_26ewXdLu8G1gccJ,Default Response Set,Anonymous,,,134.58.253.57,0,2/14/17 10:06,2/14/17 10:12,1,1,1,1,6,,561,2,3,4,,,2,3,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1otIPOw7Rqs37El,Default Response Set,Anonymous,,,134.58.253.57,0,2/14/17 11:03,2/14/17 11:05,1,1,0,1,,2,525,4,7,9,,,7,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_2aawuPbqqLUGZfD,Default Response Set,Anonymous,,,134.58.253.57,0,2/14/17 11:58,2/14/17 11:58,1,0,0,,,,,,,,,7,9,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_10AaGdwwKNTGVbJ,Default Response Set,Anonymous,,,134.58.253.57,0,2/14/17 11:58,2/14/17 12:02,1,1,1,1,2,,343,3,8,9,,,6,7,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1d5YuCNRHcdv2Do,Default Response Set,Anonymous,,,134.58.253.57,0,2/14/17 12:02,2/14/17 12:05,1,1,0,1,,2,504,4,4,5,,,8,9,1,"50,879,592,895,508","47,008,972,167,969",-1
R_27jl2FYJsQoJimI,Default Response Set,Anonymous,,,134.58.253.57,0,2/14/17 12:54,2/14/17 12:54,1,0,0,,,,,,,,,3,8,8,1,"50,879,592,895,508","47,008,972,167,969",-1
R_22CSJCyhYCSt1jq,Default Response Set,Anonymous,,,134.58.253.57,0,2/14/17 12:56,2/14/17 13:00,1,1,1,1,2,,246,1,9,10,,,7,6,1,"50,879,592,895,508","47,008,972,167,969",-1
R_1fmeomLuBf0cz95,Default Response Set,Anonymous,,,134.58.253.57,0,2/14/17 13:57,2/14/17 13:58,1,0,1,,,,,,,,0,,1,4,1,"50,879,592,895,508","47,008,972,167,969",-1
