V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,mTurkCode,load,had.read,Q24,Q13,text,L1.R1.scenario_1,L1.R0.scenario_1,Q28,Q29_1,Q21_1,Q22_1,L0.R1.text_1,L0.R0.text_1,Q26_1,Q14_1,text.thanks,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,mTurkCode,load,had.read,Consentimento Informado   Obrigado pela sua participação na nossa investigação. Antes de proceder...,"Você foi selecionado aleatoriamente para uma condição. Clique "" "" para dar início.  ","Por favor, leia as instruções atentamente.   Neste breve estudo será solicitado a fazer duas tare...","Comece com o número: 564   Ao contar de trás para frente, leia o cenário seguinte.   Imagine que...-&nbsp;","Comece com o número: 564   Ao contar para trás, leia o cenário seguinte.   Imagine que está numa...-&nbsp;",  PARE DE CONTAR! Em qual número parou?,"Frequentemente, é muito difícil completar duas tarefas em simultâneo. Por favor, indique a quanti...-&nbsp;",O quão difícil foi a tarefa da contagem?-&nbsp;,Quanto esforço foi necessário para a tarefa da contagem?-&nbsp;,"Por favor, leia o seguinte cenário atentamente.   Imagine que está numa grande palestra com algum...-&nbsp;","Por favor, leia o seguinte cenário atentamente.   Imagine que está numa grande palestra com algum...-&nbsp;","Se fosse um aluno na aula que acabou de ler, qual seria para si a importância para de responder à...-&nbsp;","Se fosse um aluno da turma, o quão mal se sentiria se fosse chamado pelo professor e não consegui...-&nbsp;","Obrigado Obrigado pela sua participação no presente estudo. Por favor, clique no botão continuar...",LocationLatitude,LocationLongitude,LocationAccuracy,
R_2tnZTPfaEpn2cC2,Default Response Set,Anonymous,,,179.233.112.179,0,2017-02-15 16:37:42,2017-02-15 16:37:49,0,423812,0,0,1,,,,,,,,,,,,,,,,-1,
R_1jfG8bQBqLJuRLd,Default Response Set,Anonymous,,,2.83.220.146,0,2017-02-15 18:58:55,2017-02-15 18:59:06,0,423787,0,0,1,1,,,,,,,,,,,,,,,-1,
R_1j8ncbPVM2BMxqx,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-02 12:13:34,2017-03-02 12:19:44,1,423415,0,0,1,1,,,,,,,,,6,9,9,1,41.149597167969,-8.6109924316406,-1,
R_5psKimBPRfpgxbP,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-02 12:20:46,2017-03-02 12:22:33,1,423574,0,1,1,1,,,,,,,,4,,6,6,1,41.149597167969,-8.6109924316406,-1,
R_1nUhueXIb68zDOi,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-02 12:07:40,2017-03-02 12:28:09,1,423186,1,1,1,1,1,2,,555,3,4,4,,,5,6,1,41.149597167969,-8.6109924316406,-1,
R_2PvDz1GiLwKlwd8,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-02 12:23:13,2017-03-02 12:40:54,1,423774,1,0,1,1,1,,5,537,2,5,6,,,5,5,1,41.149597167969,-8.6109924316406,-1,
R_28BBM8pcgvqiSiN,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-02 12:42:19,2017-03-02 12:43:24,1,423307,0,0,1,1,,,,,,,,,2,7,9,1,41.149597167969,-8.6109924316406,-1,
R_26bF8gOKjvLFnqr,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-02 12:28:48,2017-03-02 12:44:34,1,423328,1,0,1,1,1,,5,519,5,9,9,,,8,9,1,41.149597167969,-8.6109924316406,-1,
R_sdHGLaUnQtU09UZ,Default Response Set,Anonymous,,,193.136.53.25,0,2017-03-02 12:44:50,2017-03-02 12:51:36,1,423736,0,1,1,1,,,,,,,,5,,8,7,1,41.149597167969,-8.6109924316406,-1,
