StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,likelihood_1,likelihood_1,end.num,effort.split_1,difficulty_1,effort.count_1,likelihood_1,likelihood_1,academic.pressure_1,negativity_1,mTurkCode,load,had.read
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,"Start with the number:      564

	 

	While counting backwards, read the following scenario.

	

	

	Imagine that you are in a large lecture with a few hundred students and you are sitting in the middle section, a little more than half-way back in the room. The professor asks a question about the readings, but no one raises his or her hand to answer. You have done the reading and feel confident that the professor would like your answer, but prefer not to volunteer answers in large classes. The class sits in silence for two minutes before the professor explains that if no one volunteers, he will choose someone.


	 

	 

	How likely do you believe it is that the professor will call on you? Mark your answer by choosing the appropriate number below.","Start with the number:      564

	 

	While counting backwards, read the following scenario.

	 


	Imagine that you are in a large lecture with a few hundred students and you are sitting in the middle section, a little more than half-way back in the room. The professor asks a question about the readings, but no one raises his or her hand to answer. You have not done the reading and feel confident that you would not be able to answer the question. The class sits in silence for two minutes before the professor explains that if no one volunteers, he will choose someone.

	

	 

	 

	How likely do you believe it is that the professor will call on you? Mark your answer by choosing the appropriate number below.",STOP COUNTING! What number did you end on?,"It
is often very difficult to complete two tasks simultaneously. Please indicate
how much effort you believe you put into each of the two tasks by choosing the
appropriate number.",How difficult was the counting task?,How much effort did the counting task require?,"Please read the following scenario carefully.

	

	Imagine that you are in a large lecture with a few hundred students and you are sitting in the middle section, a little more than half-way back in the room. The professor asks a question about the readings, but no one raises his or her hand to answer. You have done the reading and feel confident that the professor would like your answer, but prefer not to volunteer answers in large classes. The class sits in silence for two minutes before the professor explains that if no one volunteers, he will choose someone.

	 


	 

	How likely do you believe it is that the professor will call on you? Mark your answer by choosing the appropriate number below.","Please read the following scenario carefully.

	 

	Imagine that you are in a large lecture with a few hundred students and you are sitting in the middle section, a little more than half-way back in the room. The professor asks a question about the readings, but no one raises his or her hand to answer. You have not done the reading and feel confident that you would not be able to answer the question. The class sits in silence for two minutes before the professor explains that if no one volunteers, he will choose someone.

	 


	How likely do you believe it is that the professor will call on you? Mark your answer by choosing the appropriate number below.","If you were a student in the class you just read about, how important would it be to you to answer questions correctly in class?","If
 you were a student in the class, how bad would you feel if you were 
called on by the professor, but couldn’t answer the question?",mTurkCode,load,had.read
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""load""}","{""ImportId"":""had.read""}"
2017-01-05 18:49:40,2017-01-05 18:51:42,IP Address,137.112.236.167,100,121,True,2017-01-05 18:51:43,R_1r64G1b4VqU0tqw,,,,,39.466201782227,-87.314796447754,anonymous,,8,547,6,1,1,,,9,9,423608,1,0
2017-01-07 23:36:19,2017-01-07 23:37:19,IP Address,107.77.209.91,100,60,True,2017-01-07 23:37:20,R_2OPCNUpxHwxeQFR,,,,,41.848297119141,-87.651702880859,anonymous,,,,,,,,10,10,10,423371,0,0
2017-01-08 11:11:40,2017-01-08 11:13:46,IP Address,137.112.224.47,100,126,True,2017-01-08 11:13:47,R_3EyCmQkt3bLn0zo,,,,,39.466201782227,-87.314796447754,anonymous,,,,,,,1,,8,7,423083,0,1
2017-01-08 17:33:14,2017-01-08 17:36:35,IP Address,137.112.225.178,100,201,True,2017-01-08 17:36:36,R_1EgPBlPmhyobNOu,,,,,39.466201782227,-87.314796447754,anonymous,3,,543,3,4,6,,,6,8,423971,1,1
2017-01-10 17:49:05,2017-01-10 17:50:43,IP Address,137.112.225.172,100,97,True,2017-01-10 17:50:43,R_1FQ7AR8QYNvXTfI,,,,,39.466201782227,-87.314796447754,anonymous,,,,,,,,6,3,6,423567,0,0
2017-01-10 17:48:42,2017-01-10 17:51:53,IP Address,137.112.230.57,100,191,True,2017-01-10 17:51:54,R_1N8uvGyxx8YQ0fV,,,,,39.466201782227,-87.314796447754,anonymous,,3,540,3,6,5,,,7,3,423517,1,0
2017-01-10 17:49:20,2017-01-10 17:52:37,IP Address,137.112.223.9,100,196,True,2017-01-10 17:52:38,R_3LXdq0CBjL2F0od,,,,,39.466201782227,-87.314796447754,anonymous,3,,353,2,8,9,,,8,8,423721,1,1
2017-01-11 08:42:30,2017-01-11 08:44:19,IP Address,107.77.210.68,100,108,True,2017-01-11 08:44:19,R_1eKJxU67MlvuF9W,,,,,41.848297119141,-87.651702880859,anonymous,,,,,,,7,,6,8,423991,0,1
