StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,likelihood_1,likelihood_1,end.num,effort.split_1,difficulty_1,effort.count_1,likelihood_1,likelihood_1,academic.pressure_1,negativity_1,mTurkCode,load,had.read
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,"Start with the number:      564

	 

	While counting backwards, read the following scenario.

	

	

	Imagine that you are in a large lecture with a few hundred students and you are sitting in the middle section, a little more than half-way back in the room. The professor asks a question about the readings, but no one raises his or her hand to answer. You have done the reading and feel confident that the professor would like your answer, but prefer not to volunteer answers in large classes. The class sits in silence for two minutes before the professor explains that if no one volunteers, he will choose someone.


	 

	 

	How likely do you believe it is that the professor will call on you? Mark your answer by choosing the appropriate number below.","Start with the number:      564

	 

	While counting backwards, read the following scenario.

	 


	Imagine that you are in a large lecture with a few hundred students and you are sitting in the middle section, a little more than half-way back in the room. The professor asks a question about the readings, but no one raises his or her hand to answer. You have not done the reading and feel confident that you would not be able to answer the question. The class sits in silence for two minutes before the professor explains that if no one volunteers, he will choose someone.

	

	 

	 

	How likely do you believe it is that the professor will call on you? Mark your answer by choosing the appropriate number below.",STOP COUNTING! What number did you end on?,"It
is often very difficult to complete two tasks simultaneously. Please indicate
how much effort you believe you put into each of the two tasks by choosing the
appropriate number.",How difficult was the counting task?,How much effort did the counting task require?,"Please read the following scenario carefully.

	

	Imagine that you are in a large lecture with a few hundred students and you are sitting in the middle section, a little more than half-way back in the room. The professor asks a question about the readings, but no one raises his or her hand to answer. You have done the reading and feel confident that the professor would like your answer, but prefer not to volunteer answers in large classes. The class sits in silence for two minutes before the professor explains that if no one volunteers, he will choose someone.

	 


	 

	How likely do you believe it is that the professor will call on you? Mark your answer by choosing the appropriate number below.","Please read the following scenario carefully.

	 

	Imagine that you are in a large lecture with a few hundred students and you are sitting in the middle section, a little more than half-way back in the room. The professor asks a question about the readings, but no one raises his or her hand to answer. You have not done the reading and feel confident that you would not be able to answer the question. The class sits in silence for two minutes before the professor explains that if no one volunteers, he will choose someone.

	 


	How likely do you believe it is that the professor will call on you? Mark your answer by choosing the appropriate number below.","If you were a student in the class you just read about, how important would it be to you to answer questions correctly in class?","If
 you were a student in the class, how bad would you feel if you were 
called on by the professor, but couldn’t answer the question?",mTurkCode,load,had.read
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""load""}","{""ImportId"":""had.read""}"
2016-11-28 09:34:37,2016-11-28 09:36:33,IP Address,68.65.174.224,100,115,True,2016-11-28 09:36:34,R_3fGZ45IO9Zkbbdm,,,,,37.41780090332,-122.17199707031,anonymous,,,,,,,,1,2,10,423884,0,0
2016-11-28 09:53:02,2016-11-28 09:55:34,IP Address,171.66.210.7,100,151,True,2016-11-28 09:55:35,R_2VygCcPFnivnrzR,,,,,37.41780090332,-122.17199707031,anonymous,5,,537,4,4,6,,,7,7,423502,1,1
2016-11-28 10:11:47,2016-11-28 10:13:06,IP Address,171.66.208.10,100,78,True,2016-11-28 10:13:07,R_RaWOqVPDM9iezMl,,,,,37.41780090332,-122.17199707031,anonymous,,,,,,,,7,10,9,423314,0,0
2016-11-28 10:43:43,2016-11-28 10:45:41,IP Address,171.66.210.7,100,118,True,2016-11-28 10:45:42,R_UgVWcFP9vky1Uzv,,,,,37.41780090332,-122.17199707031,anonymous,,,,,,,1,,4,8,423988,0,1
2016-11-28 10:48:59,2016-11-28 10:50:31,IP Address,171.66.210.7,100,91,True,2016-11-28 10:50:32,R_3qqFka0iY1Z2k6F,,,,,37.41780090332,-122.17199707031,anonymous,,,,,,,,3,7,7,423600,0,0
2016-11-28 11:14:29,2016-11-28 11:16:51,IP Address,171.66.208.10,100,141,True,2016-11-28 11:16:52,R_wO9PqhoLXVRdm81,,,,,37.41780090332,-122.17199707031,anonymous,,2,525,4,1,3,,,3,6,423703,1,0
2016-11-28 11:30:36,2016-11-28 11:34:52,IP Address,171.66.210.7,100,255,True,2016-11-28 11:34:53,R_3hcOgjkyyo3UGx8,,,,,37.41780090332,-122.17199707031,anonymous,3,,530,4,8,10,,,6,5,423015,1,1
2016-11-28 11:36:53,2016-11-28 11:38:45,IP Address,171.66.208.5,100,112,True,2016-11-28 11:38:46,R_2P84XkJAGfpf5XB,,,,,37.41780090332,-122.17199707031,anonymous,,,,,,,0,,1,6,423440,0,1
