StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,L1.R1.scenario_1,L1.R0.scenario_1,Q28,Q29_1,Q21_1,Q22_1,L0.R1.text_1,L0.R0.text_1,Q26_1,Q14_1,mTurkCode,load,had.read
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,"Start with the number:      564

	 

	While counting backwards, read the following scenario.

	

	

	Imagine that you are in a large lecture with a few hundred students and you are sitting in the middle section, a little more than half-way back in the room. The professor asks a question about the readings, but no one raises his or her hand to answer. You have done the reading and feel confident that the professor would like your answer, but prefer not to volunteer answers in large classes. The class sits in silence for two minutes before the professor explains that if no one volunteers, he will choose someone.


	 

	 

	How likely do you believe it is that the professor will call on you? Mark your answer by choosing the appropriate number below.","Start with the number:      564

	 

	While counting backwards, read the following scenario.

	 


	Imagine that you are in a large lecture with a few hundred students and you are sitting in the middle section, a little more than half-way back in the room. The professor asks a question about the readings, but no one raises his or her hand to answer. You have not done the reading and feel confident that you would not be able to answer the question. The class sits in silence for two minutes before the professor explains that if no one volunteers, he will choose someone.

	

	 

	 

	How likely do you believe it is that the professor will call on you? Mark your answer by choosing the appropriate number below.",STOP COUNTING! What number did you end on?,"It
is often very difficult to complete two tasks simultaneously. Please indicate
how much effort you believe you put into each of the two tasks by choosing the
appropriate number.",How difficult was the counting task?,How much effort did the counting task require?,"Please read the following scenario carefully.

	

	Imagine that you are in a large lecture with a few hundred students and you are sitting in the middle section, a little more than half-way back in the room. The professor asks a question about the readings, but no one raises his or her hand to answer. You have done the reading and feel confident that the professor would like your answer, but prefer not to volunteer answers in large classes. The class sits in silence for two minutes before the professor explains that if no one volunteers, he will choose someone.

	 


	 

	How likely do you believe it is that the professor will call on you? Mark your answer by choosing the appropriate number below.","Please read the following scenario carefully.

	 

	Imagine that you are in a large lecture with a few hundred students and you are sitting in the middle section, a little more than half-way back in the room. The professor asks a question about the readings, but no one raises his or her hand to answer. You have not done the reading and feel confident that you would not be able to answer the question. The class sits in silence for two minutes before the professor explains that if no one volunteers, he will choose someone.

	 


	How likely do you believe it is that the professor will call on you? Mark your answer by choosing the appropriate number below.","If you were a student in the class you just read about, how important would it be to you to answer questions correctly in class?","If
 you were a student in the class, how bad would you feel if you were 
called on by the professor, but couldn’t answer the question?",mTurkCode,load,had.read
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""load""}","{""ImportId"":""had.read""}"
2/7/2017 7:13,2/7/2017 7:22,100,568,TRUE,2/7/2017 7:22,R_9Rk3p8c1pP4sXUl,,,,,41.47729492,-71.52079773,anonymous,,2,534,4,9,9,,,8,6,423114,1,0
2/7/2017 7:27,2/7/2017 7:44,100,1059,TRUE,2/7/2017 7:44,R_cNl8jW2wxRmzUzf,,,,,41.47729492,-71.52079773,anonymous,,3,559,0,3,6,,,2,10,423039,1,0
2/7/2017 7:51,2/7/2017 7:52,100,49,TRUE,2/7/2017 7:52,R_ZrRMYV4n7am3g3f,,,,,41.47729492,-71.52079773,anonymous,,,,,,,1,,10,9,423956,0,1
2/7/2017 7:26,2/7/2017 7:53,100,1596,TRUE,2/7/2017 7:53,R_1dKX6mhf7lK5mPE,,,,,41.47729492,-71.52079773,anonymous,5,,534,2,3,2,,,5,6,423982,1,1
2/7/2017 7:56,2/7/2017 8:23,100,1621,TRUE,2/7/2017 8:23,R_1LFfyqTCqEPppd2,,,,,41.47729492,-71.52079773,anonymous,,,,,,,1,,7,9,423894,0,1
2/10/2017 10:53,2/10/2017 11:00,100,369,TRUE,2/10/2017 11:00,R_2EgcOdK8KY8T1c2,,,,,41.47729492,-71.52079773,anonymous,,4,443,3,9,7,,,7,8,423171,1,0
2/10/2017 10:53,2/10/2017 11:45,100,3146,TRUE,2/10/2017 11:45,R_3EiggowsV8TjAcL,,,,,41.47729492,-71.52079773,anonymous,,,,,,,,1,1,4,423378,0,0
2/10/2017 11:49,2/10/2017 11:55,100,398,TRUE,2/10/2017 11:55,R_DpMLKqSzZhXclW1,,,,,41.47729492,-71.52079773,anonymous,,,,,,,,3,7,9,423986,0,0
