StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,likelihood_1,likelihood_1,end.num,effort.split_1,difficulty_1,effort.count_1,likelihood_1,likelihood_1,academic.pressure_1,negativity_1,mTurkCode,load,had.read
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,"Start with the number:      564
	 
	While counting backwards, read the following scenario.
	
	
	Imagine that you are in a large lecture with a few hundred students and you are sitting in the middle section, a little more than half-way back in the room. The professor asks a question about the readings, but no one raises his or her hand to answer. You have done the reading and feel confident that the professor would like your answer, but prefer not to volunteer answers in large classes. The class sits in silence for two minutes before the professor explains that if no one volunteers, he will choose someone.
	 
	 
	How likely do you believe it is that the professor will call on you? Mark your answer by choosing the appropriate number below.","Start with the number:      564
	 
	While counting backwards, read the following scenario.
	 
	Imagine that you are in a large lecture with a few hundred students and you are sitting in the middle section, a little more than half-way back in the room. The professor asks a question about the readings, but no one raises his or her hand to answer. You have not done the reading and feel confident that you would not be able to answer the question. The class sits in silence for two minutes before the professor explains that if no one volunteers, he will choose someone.
	
	 
	 
	How likely do you believe it is that the professor will call on you? Mark your answer by choosing the appropriate number below.",STOP COUNTING! What number did you end on?,"It
is often very difficult to complete two tasks simultaneously. Please indicate
how much effort you believe you put into each of the two tasks by choosing the
appropriate number.",How difficult was the counting task?,How much effort did the counting task require?,"Please read the following scenario carefully.
	
	Imagine that you are in a large lecture with a few hundred students and you are sitting in the middle section, a little more than half-way back in the room. The professor asks a question about the readings, but no one raises his or her hand to answer. You have done the reading and feel confident that the professor would like your answer, but prefer not to volunteer answers in large classes. The class sits in silence for two minutes before the professor explains that if no one volunteers, he will choose someone.
	 
	 
	How likely do you believe it is that the professor will call on you? Mark your answer by choosing the appropriate number below.","Please read the following scenario carefully.
	 
	Imagine that you are in a large lecture with a few hundred students and you are sitting in the middle section, a little more than half-way back in the room. The professor asks a question about the readings, but no one raises his or her hand to answer. You have not done the reading and feel confident that you would not be able to answer the question. The class sits in silence for two minutes before the professor explains that if no one volunteers, he will choose someone.
	 
	How likely do you believe it is that the professor will call on you? Mark your answer by choosing the appropriate number below.","If you were a student in the class you just read about, how important would it be to you to answer questions correctly in class?","If
 you were a student in the class, how bad would you feel if you were 
called on by the professor, but couldn‰Ûªt answer the question?",mTurkCode,load,had.read
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""load""}","{""ImportId"":""had.read""}"
4/6/17 9:53,4/6/17 10:11,IP Address,128.143.174.55,100,1043,TRUE,4/6/17 10:11,R_3PBnuX5u2iQCm9e,,,,,38.03289795,-78.51370239,anonymous,,,,,,,1,,6,6,423137,0,1
4/6/17 9:52,4/6/17 10:13,IP Address,128.143.175.244,100,1246,TRUE,4/6/17 10:13,R_3CVPYFnuxYCVINv,,,,,38.03289795,-78.51370239,anonymous,,4,558,2,8,8,,,8,7,423983,1,0
4/6/17 9:54,4/6/17 10:14,IP Address,128.143.174.176,100,1215,TRUE,4/6/17 10:14,R_1BVl8q6w0yp7qAp,,,,,38.03289795,-78.51370239,anonymous,,,,,,,0,,2,8,423596,0,1
4/6/17 10:16,4/6/17 10:34,IP Address,128.143.175.244,100,1060,TRUE,4/6/17 10:34,R_1BSiBrKXoD6RdtV,,,,,38.03289795,-78.51370239,anonymous,,,,,,,,5,7,6,423925,0,0
4/11/17 10:10,4/11/17 10:31,IP Address,128.143.174.176,100,1278,TRUE,4/11/17 10:31,R_bNTLCZiDNMncDER,,,,,38.03289795,-78.51370239,anonymous,,6,549,2,7,8,,,6,10,423608,1,0
4/11/17 10:10,4/11/17 10:32,IP Address,128.143.174.55,100,1327,TRUE,4/11/17 10:32,R_1esoSoZjYM4tyzz,,,,,38.03289795,-78.51370239,anonymous,1,,528,5,8,9,,,8,7,423605,1,1
4/11/17 10:09,4/11/17 10:49,IP Address,128.143.175.244,100,2390,TRUE,4/11/17 10:49,R_3926TZf3ij61T21,,,,,38.03289795,-78.51370239,anonymous,,,,,,,2,,6,7,423486,0,1
4/11/17 10:34,4/11/17 10:49,IP Address,128.143.174.176,100,931,TRUE,4/11/17 10:49,R_3OppLJVdzJtQkam,,,,,38.03289795,-78.51370239,anonymous,,,,,,,,6,8,10,423915,0,0
