"","a","mTurkCode","V8","V9","V10","X6","Cognitive load","Had read","Q1","Q2_1","Q3","Q4_1","Q6","Q7_1","Q8","Q9_1","Q11_1","Q14_1","Q13","end.num","eff.split","badness","importance","count.eff","count.hard"
"1","ResponseID","mTurkCode","StartDate","EndDate","Finished","Exclude","Cognitive load","Had read","Please read the directions carefully. /  /    /  /  In this short study, you will be asked to complete two t...","Start with the number: 564 /  /    /  /  While counting backwards, read the following scenario. /  /   /   /  /  Imagi...-&nbsp;","STOP COUNTING! What number did you end on?","It / is often very difficult to complete two tasks simultaneously. Please indicate / how much effort you...-&nbsp;","Please read the directions carefully. /   /   /  /   In this short study, you will be asked to complete two...","Start with the number: 564 /  /    /  /  While counting backwards, read the following scenario. /  /    /  /  /  Imagi...-&nbsp;","STOP COUNTING! What number did you end on?","It / is often very difficult to complete two tasks simultaneously. Please indicate / how much effort you...-&nbsp;","Please read the following scenario carefully. /  /   /  Imagine that you are in a large lecture with a few...-&nbsp;","Please read the following scenario carefully.  /    /  /  Imagine that you are in a large lecture with a f...-&nbsp;","Thank you for participating in this study. ξ If you have any comments about it, please enter them...",NA,NA,NA,NA,NA,NA
"2","R_1cSbvNAXaafqkde","4236033","3/1/17 15:43","3/1/17 16:13","1",NA,"1","1","1","1","549","4",NA,NA,NA,NA,NA,NA,NA,549,4,NA,NA,NA,NA
"3","R_1OwZTmBaEDqkE1A","4230069","3/1/17 15:42","3/1/17 16:14","1",NA,"1","0",NA,NA,NA,NA,"1","7","4","1",NA,NA,NA,4,1,NA,NA,NA,NA
"4","R_3lPkICCJorTO4aO","4236113","3/1/17 15:44","3/1/17 16:14","1",NA,"1","0",NA,NA,NA,NA,"1","3","551","5",NA,NA,NA,551,5,NA,NA,NA,NA
"5","R_qzrWUnKyDALt1oR","4238348","3/1/17 16:41","3/1/17 16:42","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA
"6","R_2bK05AXvhvPto4u","4238577","3/1/17 16:16","3/1/17 16:42","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA
"7","R_2rkgs0e2C7LmN6a","4236832","3/1/17 16:16","3/1/17 16:42","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"8","R_3DyOXqZe0mzai3L","4237128","3/1/17 17:06","3/1/17 17:20","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"9","R_2xORNr4peQikEIR","4239310","3/1/17 16:44","3/1/17 17:21","1",NA,"1","1","1","7","7","2",NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA
"10","R_3oQQ5cIUe1jUo7L","4239467","3/1/17 16:44","3/1/17 17:21","1",NA,"1","1","1","5","546","2",NA,NA,NA,NA,NA,NA,NA,546,2,NA,NA,NA,NA
"11","R_1dKcAc9HYCt7vln","4232296","3/8/17 15:42","3/8/17 16:17","1",NA,"1","0",NA,NA,NA,NA,"1","1","543","2",NA,NA,NA,543,2,NA,NA,NA,NA
"12","R_9Rd7pXZu6zFjrjP","4234152","3/8/17 15:43","3/8/17 16:17","1",NA,"1","1","1","4","554","2",NA,NA,NA,NA,NA,NA,NA,554,2,NA,NA,NA,NA
"13","R_2VD3KE5S18h3Zz0","4230113","3/8/17 15:41","3/8/17 16:18","1",NA,"1","1","1","3","558","0",NA,NA,NA,NA,NA,NA,NA,558,0,NA,NA,NA,NA
"14","R_2pQB33z4erYYZH6","4237501","3/8/17 16:27","3/8/17 17:14","1",NA,"1","0",NA,NA,NA,NA,"1","3","528","3",NA,NA,NA,528,3,NA,NA,NA,NA
"15","R_308iqUaQ3kpe9Zq","4239220","3/8/17 16:27","3/8/17 17:14","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA
"16","R_3dMwvdYnXrhDM50","4233947","3/8/17 16:24","3/8/17 17:15","1",NA,"1","1","1","6","542","1",NA,NA,NA,NA,NA,NA,NA,542,1,NA,NA,NA,NA
"17","R_YXNheOmPG5WGoKt","4230521","3/10/17 15:07","3/10/17 16:11","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA
"18","R_27wiw8OS0k4z9JK","4239405","3/10/17 15:06","3/10/17 16:12","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"19","R_Z8gZpQEa9gRoBkl","4233150","3/10/17 15:06","3/10/17 16:13","1",NA,"1","1","1","1","546","4",NA,NA,NA,NA,NA,NA,NA,546,4,NA,NA,NA,NA
"20","R_2fINNZEPzhAOH74","4235392","3/10/17 16:19","3/10/17 16:48","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"21","R_1ogSVCedNZxxyge","4230478","3/10/17 16:19","3/10/17 16:49","1",NA,"1","1","1","7","549","5",NA,NA,NA,NA,NA,NA,NA,549,5,NA,NA,NA,NA
"22","R_1gpSWkQm1wYsoCA","4232846","3/10/17 16:47","3/10/17 16:52","1",NA,"1","0",NA,NA,NA,NA,"1","3","552","2",NA,NA,NA,552,2,NA,NA,NA,NA
"23","R_4NNEYHqG6DUyZq1","4233980","3/15/17 15:52","3/15/17 16:17","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"24","R_3JLwVuYQGJ4OjdE","4232016","3/15/17 15:49","3/15/17 16:18","1",NA,"1","1","1","1","519","4",NA,NA,NA,NA,NA,NA,NA,519,4,NA,NA,NA,NA
"25","R_10Tbqw3kVz59COi","4230599","3/15/17 15:48","3/15/17 16:19","1",NA,"1","0",NA,NA,NA,NA,"1","5","474","4",NA,NA,NA,474,4,NA,NA,NA,NA
"26","R_stnBogVohJf7FT3","4237914","3/15/17 16:23","3/15/17 17:21","1",NA,"1","0",NA,NA,NA,NA,"1","7","500","2",NA,NA,NA,500,2,NA,NA,NA,NA
"27","R_1C1liIPGbH9nVXn","4238353","3/15/17 16:24","3/15/17 17:22","1",NA,"1","0",NA,NA,NA,NA,"1","2","523","5",NA,NA,NA,523,5,NA,NA,NA,NA
"28","R_2SuDRrwEaGrAPPA","4235954","3/15/17 16:24","3/15/17 17:22","1",NA,"1","0",NA,NA,NA,NA,"1","1","564","0",NA,NA,NA,564,0,NA,NA,NA,NA
"29","R_OO6lF5DEEvdDr4R","4233829","3/16/17 13:12","3/16/17 13:12","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA
"30","R_qwSKrlc9xxlM2bL","4232613","3/16/17 13:38","3/16/17 13:38","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA
"31","R_1BQJkajNNzfzLAI","4236713","3/16/17 13:38","3/16/17 13:38","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"32","R_bvf9Ac9VQTOXo4h","4232910","3/16/17 13:38","3/16/17 13:39","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"33","R_24uQENKdYkG9YqH","4232055","3/16/17 13:38","3/16/17 13:39","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"34","R_11aUROIZ4wwURYT","4231103","3/16/17 13:38","3/16/17 13:39","1",NA,"1","0",NA,NA,NA,NA,"1","1","1","5",NA,NA,NA,1,5,NA,NA,NA,NA
"35","R_10D9Lg5fVZviML4","4238479","3/16/17 13:38","3/16/17 13:39","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
"36","R_2xJHajb823lax3L","4233873","3/16/17 13:38","3/16/17 13:40","1",NA,"1","0",NA,NA,NA,NA,"1","5","540","2",NA,NA,"Very hard.",540,2,NA,NA,NA,NA
"37","R_1dy40lnBGlTIEUv","4231889","3/16/17 13:38","3/16/17 13:42","1",NA,"1","1","1","1","549","2",NA,NA,NA,NA,NA,NA,"Very interesting",549,2,NA,NA,NA,NA
"38","R_3MlLFZxwzGiRwBM","4232312","3/17/17 11:32","3/17/17 11:33","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA
"39","R_pzXd3GBsw2aogLf","4238653","3/17/17 11:33","3/17/17 11:34","1",NA,"1","0",NA,NA,NA,NA,"1","1","532","1",NA,NA,NA,532,1,NA,NA,NA,NA
"40","R_3fl3xGz0Ihu3Msx","4232571","3/17/17 11:30","3/17/17 11:35","1",NA,"1","1","1","1","496","0",NA,NA,NA,NA,NA,NA,NA,496,0,NA,NA,NA,NA
"41","R_1Egpl3vEdbIxBJF","4232606","3/17/17 11:33","3/17/17 11:38","1",NA,"1","0",NA,NA,NA,NA,"1","7","474","2",NA,NA,NA,474,2,NA,NA,NA,NA
"42","R_2xxEZD7eZxZ5tv1","4231604","3/17/17 12:51","3/17/17 12:52","1",NA,"1","1","1","1","564","1",NA,NA,NA,NA,NA,NA,NA,564,1,NA,NA,NA,NA
"43","R_2c2cfitw5LudZtm","4236224","3/17/17 12:51","3/17/17 12:53","1",NA,"1","1","1","4","546","5",NA,NA,NA,NA,NA,NA,NA,546,5,NA,NA,NA,NA
"44","R_3FLL7Y7Bmtgwpjv","4234567","3/17/17 12:54","3/17/17 12:54","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA
"45","R_1jf6kJ0NDKfUwZQ","4239869","3/17/17 12:54","3/17/17 12:55","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"a little longer waiting between different studies",NA,NA,NA,NA,NA,NA
"46","R_0rLVEKMvgMM2QFz","4236735","3/17/17 12:53","3/17/17 12:55","1",NA,"1","0",NA,NA,NA,NA,"1","1","564","3",NA,NA,NA,564,3,NA,NA,NA,NA
"47","R_32QLIIIA7IWfA09","4238574","3/17/17 12:53","3/17/17 12:55","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"48","R_AdEY46qwkH0YptD","4236586","3/17/17 12:56","3/17/17 12:57","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"49","R_2aftj0GvRtQ3mr8","4239803","3/17/17 12:56","3/17/17 12:58","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"50","R_3maY5AScekcC4AJ","4237817","3/17/17 14:07","3/17/17 14:08","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"51","R_29cW11KBZwpVwYL","4236835","3/17/17 14:08","3/17/17 14:10","1",NA,"1","0",NA,NA,NA,NA,"1","3","520","0",NA,NA,NA,520,0,NA,NA,NA,NA
"52","R_3huaUmiZbBG3dSB","4230311","3/17/17 14:09","3/17/17 14:10","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"53","R_22zzrKr1spc3cZA","4232450","3/17/17 14:09","3/17/17 14:10","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA
"54","R_22J3XBbvna9oMIr","4235135","3/17/17 14:09","3/17/17 14:11","1",NA,"1","0",NA,NA,NA,NA,"1","1","550","0",NA,NA,NA,550,0,NA,NA,NA,NA
"55","R_6ESoyw1Pru39dE5","4239728","3/17/17 14:08","3/17/17 14:11","1",NA,"1","1","1","4","544","3",NA,NA,NA,NA,NA,NA,"THIS WAS SO HARD :O I now know that I am horrible at counting backwards in increments of 3!",544,3,NA,NA,NA,NA
"56","R_9FGlZmiQYGjmdbP","4239203","3/17/17 14:09","3/17/17 14:12","1",NA,"1","0",NA,NA,NA,NA,"1","1","555","2",NA,NA,"The reading and counting task was very hard and was very easy to lose track. Therefore, I found it hard to do both at once.",555,2,NA,NA,NA,NA
