a,mTurkCode,V8,V9,V10,,Cognitive load,Had read,Q1,Q2_1,Q3,Q4_1,Q6,Q7_1,Q8,Q9_1,Q11_1,Q14_1,Q13
ResponseID,mTurkCode,StartDate,EndDate,Finished,Exclude,Cognitive load,Had read,"Please read the directions carefully. /  /    /  /  In this short study, you will be asked to complete two t...","Start with the number: 564 /  /    /  /  While counting backwards, read the following scenario. /  /   /   /  /  Imagi...-&nbsp;",STOP COUNTING! What number did you end on?,It / is often very difficult to complete two tasks simultaneously. Please indicate / how much effort you...-&nbsp;,"Please read the directions carefully. /   /   /  /   In this short study, you will be asked to complete two...","Start with the number: 564 /  /    /  /  While counting backwards, read the following scenario. /  /    /  /  /  Imagi...-&nbsp;",STOP COUNTING! What number did you end on?,It / is often very difficult to complete two tasks simultaneously. Please indicate / how much effort you...-&nbsp;,Please read the following scenario carefully. /  /   /  Imagine that you are in a large lecture with a few...-&nbsp;,Please read the following scenario carefully.  /    /  /  Imagine that you are in a large lecture with a f...-&nbsp;,"Thank you for participating in this study. ξ If you have any comments about it, please enter them..."
R_1cSbvNAXaafqkde,4236033,3/1/17 15:43,3/1/17 16:13,1,,1,1,1,1,549,4,,,,,,,
R_1OwZTmBaEDqkE1A,4230069,3/1/17 15:42,3/1/17 16:14,1,,1,0,,,,,1,7,4,1,,,
R_3lPkICCJorTO4aO,4236113,3/1/17 15:44,3/1/17 16:14,1,,1,0,,,,,1,3,551,5,,,
R_qzrWUnKyDALt1oR,4238348,3/1/17 16:41,3/1/17 16:42,1,,0,1,,,,,,,,,2,,
R_2bK05AXvhvPto4u,4238577,3/1/17 16:16,3/1/17 16:42,1,,0,1,,,,,,,,,6,,
R_2rkgs0e2C7LmN6a,4236832,3/1/17 16:16,3/1/17 16:42,1,,0,1,,,,,,,,,1,,
R_3DyOXqZe0mzai3L,4237128,3/1/17 17:06,3/1/17 17:20,1,,0,0,,,,,,,,,,2,
R_2xORNr4peQikEIR,4239310,3/1/17 16:44,3/1/17 17:21,1,,1,1,1,7,7,2,,,,,,,
R_3oQQ5cIUe1jUo7L,4239467,3/1/17 16:44,3/1/17 17:21,1,,1,1,1,5,546,2,,,,,,,
R_1dKcAc9HYCt7vln,4232296,3/8/17 15:42,3/8/17 16:17,1,,1,0,,,,,1,1,543,2,,,
R_9Rd7pXZu6zFjrjP,4234152,3/8/17 15:43,3/8/17 16:17,1,,1,1,1,4,554,2,,,,,,,
R_2VD3KE5S18h3Zz0,4230113,3/8/17 15:41,3/8/17 16:18,1,,1,1,1,3,558,0,,,,,,,
R_2pQB33z4erYYZH6,4237501,3/8/17 16:27,3/8/17 17:14,1,,1,0,,,,,1,3,528,3,,,
R_308iqUaQ3kpe9Zq,4239220,3/8/17 16:27,3/8/17 17:14,1,,0,0,,,,,,,,,,3,
R_3dMwvdYnXrhDM50,4233947,3/8/17 16:24,3/8/17 17:15,1,,1,1,1,6,542,1,,,,,,,
