V1,MID,ip.location,not.mturk.duplicate
R_dmTRs7cW6AMjRBj,A0017268R9SKD8U2,USA,1
R_5Art6OesPA9td0F,A05062513MWBSOJW,USA,1
R_3TPMIbXXKW827ch,A1067MT5UGN8Z8,USA,1
R_1Up9pWiWat1bXw1,A10YQTSBFQPKS3,USA,1
R_3frhiJafYivrfUx,A1102MP1CZI32V,USA,1
R_7V9mfvACmFwy53D,A114FW20RIO5UB,USA,1
R_9Hcv2SyBiZXsM9D,A119B5Y1ZFVY3,USA,1
R_0PLZ8lAyazy96hn,A126UU7IXRJC95,USA,1
R_e8waoM1wLIYdd65,A128W22BIT8D9O,USA,1
R_dojSkTDr5k1qoXr,A12CK2PS96Q3OR,USA,1
R_b4ah9zEWFSJHP6d,A12L49XOTAS4H8,India,1
R_2rzAt2o2XpmOdrn,A12SMSQ6D5227J,USA,1
R_8f8sTcEDkflt24Z,A12Y5ZX3L3N4VQ,USA,1
R_a5xxiib1RnKd9Ah,A12ZPHBEIHN8U7,USA,1
R_9XYKFI5u7OpPQcl,A1378TVZLWPT2Z,USA,1
R_4VeSmIgXHNuJv93,A13BDQ7J8MNP40,USA,1
R_0p6lfbc947F2L9X,A144CG4DJ1O4P3,USA,1
R_7U4nms7WDR10oQt,A1489QNXV5IM6O,USA,1
R_bkDY0B8pdkHzmtf,A14R4IFAPZKKP3,USA,1
R_dbCAlej7KBcpbfv,A14TSAF9CWRHYD,USA,1
R_82FcrRIeH1PQdwx,A14WLAP6TCEKO0,USA,1
R_727RbBQehUMG7C5,A150GMV1YQWWB3,USA,1
R_8B52i8C0Cw5omAB,A15PUZKRWJH0EY,USA,1
R_6urqDYn1MZKUAUB,A15Y73E3GBTRU9,India,1
R_5C2eN23Jz2hHIMZ,A1650FELH3UL2F,USA,1
R_51NYJDhC6YOJGAJ,A166A2M31CW2C7,USA,1
R_6G0EgFJuce8yIst,A167SYXGXFU7C8,USA,1
R_4HImwqr98CGM31r,A16HW9M8WKD89K,USA,1
R_8ctVrJgGoXw5AC9,A170EDGL8ZWMSL,USA,1
R_3JYKbduKh8TuUQd,A173IPWYGBPVTP,USA,1
R_09dgqVHBU1C6WIB,A173LV77LF3SHB,USA,1
R_6gIO2GjNNnJ4FkV,A175IR698FGMBX,USA,1
R_bO6eKxM8PGDOFWR,A175PJR0W3LO8I,USA,1
R_5BhHsu84JsH6tPT,A1792MNK5H7YWF,USA,1
R_6gplpfdef1l3vsF,A18N2O8D5NDVK0,USA,1
R_8wyHHdtwteA5KVD,A18TCR555RWUZV,USA,1
R_3IxWRzUj8X3Tcep,A19BMRBO5UAD6H,USA,1
R_5A0oJj548mpbVNb,A19ED8FYO6CA36,USA,1
R_9pq3JpyDQM8XLmd,A19PATBI3SQNU0,USA,1
R_beDJ79KG8rNWOHP,A19PRE4CL361JF,USA,1
R_8CGVsFsF5KtQVBX,A19ZHL5Y6I7GCY,USA,1
R_eERl66LIgg3VVVH,A1A7U8TF7JAMGN,USA,1
R_ba2uabtEz7HwA4J,A1AVXGO6VIGH7D,USA,1
R_eOGG4JcrIIVcj3f,A1B90XWF503PN3,USA,1
R_55OoaQfmsaUE1Kt,A1BECW50LAWZTZ,USA,1
R_6J5QYMyPDrG2bUp,A1BI3WXOR5CTHQ,India,1
R_5uodzSy93mzZMIl,A1BM57TUNAQIXM,USA,1
R_aVqpezzyc0nDWcZ,A1C6U6K4KW7PYL,USA,1
R_7OMvgcpMFtB1cBT,A1CA1PH52XPXPR,USA,1
R_el1YOG6AQWHjIA5,A1CIIX0CB0GR7H,USA,1
R_aUUpFK4boZlgS7b,A1CMXCZK43R7DA,USA,1
R_bxbtWf5I0YAEgiF,A1CQKKMGT5ZFD4,USA,1
R_6u4UhHphZQ8v1el,A1CSDIX05PK9V,USA,1
R_9EPMN5cYuEmm5VP,A1CVBA0GC7LGFX,USA,1
R_b7x1hAHPszNoVwN,A1D125S7F7G8KM,USA,1
R_1MlxWEk6lMeKA05,A1DCPMWRNPJSGX,USA,1
R_79Dr2gRnUPNSNVP,A1DJD0J0BTE1X8,USA,1
R_9NV0YxIpjBiWwsd,A1DRFDGG2KCOI2,India,1
R_8hLTQ6FWmHxBgJn,A1DUH3RLI00YQM,USA,1
R_e8LaB3DEEGAGPMF,A1DYUKFICPRI96,USA,1
R_2ictGgr3KSLyuUt,A1E19M28UDXKYY,USA,1
R_dgSMmcf1MrMeH3L,A1E3JQKS4PASBU,USA,1
R_42Epj4iX2AEKuOx,A1EEEC7VFCAV2V,USA,1
R_dmddGwgwfrujYI5,A1EIBJSACH8DKX,USA,1
R_8rhFJ0oAY5aNcLX,A1ETJBNTO9ZWZ8,USA,1
